season,episode,character,sentence
5,15,FARADAY,"Where's the bomb, Richard? Where is it? The hydrogen bomb that I told your people to bury. Where is it?"
5,15,RICHARD,"Listen to me. Lower your gun, and we'll talk. Okay? Nobody has to get hurt here. Just put the gun down."
5,15,FARADAY,I'm gonna give you three seconds. One...
5,15,RICHARD,Don't do this.
5,15,KATE,"What's he doing down there? Jack, he's crazy."
5,15,JACK,Is he? What if this is why we're here? What if this is our one chance to put things back the way they're supposed to be?
5,15,JACK,No.
5,15,KATE,What the hell do you think you're doing?!
5,15,JACK,They shot him! I'm gonna go help.
5,15,KATE,"Yeah, they're gonna shoot you, too. We have to go, Jack. We have to go now."
5,15,KATE,Jack!
5,15,2ND MAN,Don't you move!
5,15,2ND MAN,Don't move.
5,15,KATE,Hey!
5,15,WIDMORE,Just who the bloody hell might you be?
5,15,WIDMORE,Eloise! What happened?
5,15,RICHARD,"This man walked into camp and put a gun to my head, and Eloise... reacted. Where'd you find them?"
5,15,WIDMORE,Crouched in the bushes... like rats.
5,15,ELOISE,Did you two come here with this man?
5,15,JACK,Yes.
5,15,ELOISE,Put them in my tent.
5,15,WIDMORE,"Would you care to tell me, Eloise, why the DHARMA Initiative seems to have declared war on us?"
5,15,ELOISE,"These people aren't from the DHARMA Initiative, Charles."
5,15,WIDMORE,Then where the hell are they from?
5,15,VANESSA,"Richard, he's here."
5,15,LOCKE,I brought dinner.
5,15,RICHARD,John?
5,15,LOCKE,"Hello, Richard. It's been a while."
5,15,RICHARD,"It's--it's been, uh, three years. What happened? What--where--where were you?"
5,15,LOCKE,I'll explain on the way.
5,15,RICHARD,On the way where?
5,15,LOCKE,"It's gonna be night soon. You and I have an errand to run, and we don't have a lot of time."
5,15,LOCKE,What's wrong?
5,15,RICHARD,Something different about you.
5,15,LOCKE,I have a purpose now.
5,15,RICHARD,What's he doing here?
5,15,LOCKE,He helped me get back.
5,15,SUN,Why did Locke say these were his people?
5,15,BEN,"When I left the Island, John stepped in. He's the leader now."
5,15,SUN,Who's that man he's talking to?
5,15,BEN,"His name is Richard Alpert. He's a kind of... adviser. And he has had that job for a very, very long time."
5,15,BEN,Sun? What are you...
5,15,SUN,Were you here in 1977?
5,15,RICHARD,Excuse me?
5,15,SUN,"These people... Jack Shephard, Kate Austen, Hugo Reyes. They were here with my husband--Jin Kwon. Were you here? Do you remember them? A--any of them?"
5,15,RICHARD,"Yes, I was here 30 years ago. And I do. I remember these people. I remember meeting them very clearly, because... I watched them all die."
5,15,LOCKE,Drink of water?
5,15,SUN,Do you think it's true? They're all dead?
5,15,LOCKE,"I don't think we went through all this for nothing, Sun."
5,15,RICHARD,"I'm ready, John."
5,15,LOCKE,You still have that compass I gave you?
5,15,RICHARD,"A little rusty, but she can still find north."
5,15,LOCKE,"Ben, I'd appreciate it if you'd join us."
5,15,BEN,"What, John, don't you trust me here with my former people? Afraid I'll stage a coup?"
5,15,LOCKE,"I'm not afraid of anything you can do anymore, Ben."
5,15,BEN,"Well, in that case, I'd love to come."
5,15,LOCKE,"Good. Stay here. We'll be back in a couple of hours. I'll see what I can find out. But whatever happens, Sun, you have my word--if there's a way for you and Jin to be together again, if there's a way to save our people... I'll find it."
5,15,JACK,Take it easy on her!
5,15,ERIK,Don't talk. Understand?
5,15,KATE,Are you okay?
5,15,JACK,Yeah.
5,15,KATE,"You know, before we were caught... you said that we needed to put things back the way they were supposed to be. What did you mean by that?"
5,15,JACK,If we can do what Faraday said... our plane never crashes... Flight 815 lands in Los Angeles. And everyone we lost since we got here... they'd all be alive.
5,15,KATE,And what about us? We just... go on living our life because we've never met?
5,15,JACK,All the misery that we've been through... we'd just wipe it clean. Never happened.
5,15,KATE,It was not all misery.
5,15,JACK,Enough of it was.
5,15,ELOISE,The man I shot... what did he need the bomb for?
5,15,ELOISE,I need you to tell me why he needed the bomb.
5,15,JACK,I don't think you'd believe me if I did.
5,15,ELOISE,"When I was 17 years old, I took a young man to the bomb. He proceeded to tell me that if we buried it underground, then things would work out splendidly. When I asked him how he could be so sure... he said that he was from the future. And then he disappeared, right in front of my bloody eyes. Ten minutes ago, I shot that man in the back. And before he... died... he told me that he... he said he was my son. Explain to me... and you have my word I will believe you. How is this my handwriting if I don't remember writing it?"
5,15,JACK,"Because you haven't written it yet. I know this is hard to understand, but... what you just did... it was an accident, and I think that there's a way for you to take it all back."
5,15,ELOISE,What?
5,15,JACK,Your son came back here because he had figured out a way to change things. He doesn't have to be dead. You don't have to have killed him. If we do what's written in that journal... none of this will have happened.
5,15,ELOISE,Does he know what he's talking about?
5,15,KATE,He thinks he does.
5,15,ELOISE,"All right then, I'll take you to the bomb. Just... one small issue, however. We secured it over 20 years ago underground. But since that time, it appears that someone's built an entire village over it."
5,15,JACK,The DHARMA Initiative?
5,15,ELOISE,"However... it appears that you two have been passing yourselves off as members, so... I suppose coming and going will be relatively simple."
5,15,JACK,"Ah, it might be a little bit more complicated than that."
5,15,RADZINSKY,That woman--where is she now?
5,15,SAWYER,Call my lawyer.
5,15,HORACE,Stuart! What the hell are you doing?
5,15,RADZINSKY,I'm getting answers. Where is she?!
5,15,HORACE,"Hey. Hey! Stop! Damn it, stop. That is an order. I'm still in charge here."
5,15,RADZINSKY,"No, you were in charge, Horace. But if we're gonna protect our people and all the work we're doing here, you don't have the stomach for what happens next."
5,15,RADZINSKY,Phil.
5,15,RADZINSKY,"Okay, Jim, last chance. You tell me where she is..."
5,15,RADZINSKY,"...or so help me God, I will kill you."
5,15,JULIET,Hey!
5,15,RADZINSKY,You ready to talk now?
5,15,SAWYER,Nope.
5,15,RADZINSKY,"Believe me, I'm gettin' tired of this too, Jim. So why don't you tell me where your girlfriend took the boy? She bring him to the Hostiles? You know where they are?"
5,15,JULIET,Aah! Stop! Please!
5,15,RADZINSKY,You want me to stop? Then tell me what I want to know!
5,15,JULIET,"Stuart, please. We have known each other for three years. We are not bad people! We are not here to hurt you!"
5,15,SAWYER,"Juliet... don't. Whatever you tell 'em, they ain't gonna believe you. It's only gonna get more people hurt."
5,15,HORACE,"What are we doing, man? Beating him is pointless. Okay? He's not gonna talk."
5,15,PHIL,I can make him talk.
5,15,SAWYER,Son of a bitch!
5,15,HORACE,Easy. Easy.
5,15,SAWYER,"You're a dead man, Phil. I'm gonna kill you."
5,15,MITCH,Mr. Radzinsky? There's still no sign of Miles or Jin. But the recruits from last week... I got their sub's manifest from Amy. There were three last-minute add-ons. They were the two people that shot at you--Shephard and Austen--and one guy we can't track down. He's gotta be a part of this.
5,15,RADZINSKY,Who the hell is Hugo Reyes?
5,15,PHIL,He's the fat guy.
5,15,HURLEY,So what's the rescue plan?
5,15,MILES,Rescue plan? We're heading to the beach. Why do you think we sent you for food?
5,15,HURLEY,But they got Sawyer and Juliet.
5,15,MILES,"And there are 30 of them, and they all have guns. The only people we can rescue is our ourselves, so let's go."
5,15,HURLEY,"We gotta do something. I mean, Sawyer would never leave us behind."
5,15,MILES,Dr. Chang? What are you doing here?
5,15,DR. CHANG,I could ask you the same question.
5,15,HURLEY,But we asked you first.
5,15,DR. CHANG,Your friend Faraday said that you were from the future. I need to know if he was telling the truth.
5,15,HURLEY,"Dude, that's ridiculous."
5,15,DR. CHANG,What year were you born? What year?
5,15,HURLEY,Uh... 1931?
5,15,DR. CHANG,You're 46?
5,15,HURLEY,"Yeah. Yes, I am."
5,15,DR. CHANG,So you fought in the Korean War?
5,15,HURLEY,There's... no such thing.
5,15,DR. CHANG,Who's the President of the United States?
5,15,HURLEY,"All right, dude, we're from the future. Sorry."
5,15,DR. CHANG,It's true then? You are my son?
5,15,MILES,"Yeah, it's true."
5,15,DR. CHANG,Your friend--the physicist--he also told me to evacuate everyone I could off the Island. He said there was going to be a massive accident at the Swan. Now is that true?
5,15,MILES,He's been right about everything so far. If Faraday said get people off the Island... I'd do it.
5,15,DR. CHANG,"Well, then let's hope he knows what he's doing."
5,15,WIDMORE,Tell me something. Why is it that this man looks... familiar to me?
5,15,ELOISE,Richard... you and Erik are coming with me.
5,15,WIDMORE,Going with you where?
5,15,ELOISE,You can untie them. And... would you mind giving us a moment? I'm taking them to the bomb.
5,15,WIDMORE,What? Are you insane? I'm worried about you. Not in your condition.
5,15,JACK,Who is he?
5,15,RICHARD,"The man you're asking about, Jack, is Charles Widmore. He and Eloise are... well, let's just say love can be complicated."
5,15,ELOISE,All right. Let's move out.
5,15,RICHARD,"So, John... you, uh, you ready to tell me where you've been the last three years?"
5,15,LOCKE,You really don't know?
5,15,RICHARD,"Well, I know that on the day that Ben here turned the wheel, that you and I were sitting on a log. There was a bright light. There was a loud noise, and then you just... you disappeared."
5,15,LOCKE,"Well, Richard, you're just about to see where I disappeared to. And after we're finished with that, I'd like you to take me to see Jacob."
5,15,BEN,"That's... not how it works, John."
5,15,LOCKE,"Is that true, Richard? Is this gonna be a problem?"
5,15,RICHARD,"You just got back, John. There's no reason to rush into--"
5,15,LOCKE,I am the leader now. Right?
5,15,RICHARD,"Yes, John. That's right."
5,15,LOCKE,Good. Then I would like you to take me to Jacob. Can you do that?
5,15,RICHARD,"Yeah, of course."
5,15,LOCKE,Fantastic. Let's keep moving. We're almost to the plane.
5,15,BEN,What plane?
5,15,LOCKE,"It's a Beechcraft--used to smuggle heroin. Flew out of Nigeria, crashed here. All right, Richard, listen very carefully because you're only gonna have about three minutes to get this right."
5,15,RICHARD,Get what right?
5,15,LOCKE,A man's about to walk out of the jungle. He's been shot in the leg.
5,15,LOCKE,You'll need this to get the bullet out.
5,15,RICHARD,"Uh, I'm sorry, John. I'm not--"
5,15,LOCKE,Now just listen. This is the important part. You're gonna need to tell him that he has to bring everyone who left back to the Island. And when he asks how to do that... You tell him he's gonna have to die.
5,15,BEN,"Who is that man, John?"
5,15,LOCKE,Me.
5,15,LOCKE,Aah!
5,15,LOCKE,Richard?
