season,episode,character,sentence
5,5,SUN,여보세요?
5,5,MRS. PAIK,선? 어디냐?
5,5,SUN,저 아직 LA에 있어요. 일 마무리 하면 내일 비행기 탈 거예요.
5,5,MRS. PAIK,지연이가 통화하고 싶어해.
5,5,JI YEON,엄마.
5,5,SUN,"어, 우리 이쁜 딸, 잘 지내지? 엄마가 미국에서 지연이한테 소개해주고 싶은 친구를 만났어. 이름은 애런이야."
5,5,JI YEON,엄마 보고 싶어. 언제 와?
5,5,SUN,"엄마 빨리 갈게. 그래, 사랑해. 안녕."
5,5,KATE,Why don't you leave me and my son alone?!
5,5,BEN,"Because he's not your son, Kate."
5,5,SUN,"Move away, Kate."
5,5,JACK,Sun—
5,5,SUN,"I said, move away!"
5,5,KATE,S-Sun! What are you doing? Where's Aaron?
5,5,SUN,He's in the car.
5,5,JACK,"Sun, listen. I know you think you're helping—"
5,5,SUN,"If it wasn't for you, Jin would still be alive."
5,5,BEN,"I didn't kill your husband, Sun."
5,5,SUN,"Yes, you did."
5,5,BEN,"No, I didn't. Neither did anyone else, because he's not dead."
5,5,SUN,You're lying.
5,5,BEN,"No, Sun. Jin's still alive, and I can prove it."
5,5,MAN ON RECORDING,"8, 15, 16, 23, 42. 8, 15..."
5,5,ROUSSEAU,Are you all right?
5,5,JIN,You Rousseau? Danielle Rousseau?
5,5,ROUSSEAU,Yes. Th-that's right.
5,5,JIN,Where you from?
5,5,ROUSSEAU,We sailed from Tahiti.
5,5,JIN,When?
5,5,ROUSSEAU,November 15th.
5,5,JIN,No. What year?
5,5,ROUSSEAU,1988. Why?
5,5,ROBERT,What's the matter?
5,5,JIN,I... I—I need go find my camp.
5,5,ROUSSEAU,W—what camp?
5,5,ROBERT,You were on this island before?
5,5,JIN,You see helicopter?
5,5,MONTAND,"D'abord un bateau, ensuite un hélicoptère. Bientôt il va nous parler d'un sous-marin."
5,5,MONTAND,"Allez, j'sais par où passer."
5,5,ROBERT,T'es sûr ?
5,5,MONTAND,"Ecoute, le signal est puissant. Ce qui veut dire qu'il y a sûrement une antenne sur cette île. Si on la trouve, on pourra appeler du secours."
5,5,ROBERT,Is there an antenna on the Island?
5,5,ROBERT,"Hey, Jin! Is—uh, please. Is there, um... ra—a radio tower?"
5,5,ROBERT,Um... um... okay.
5,5,ROBERT,Like that. Is there a-a radio tower here?
5,5,JIN,"Yes. But I—I must find my camp because maybe, uh, helicopter go there."
5,5,ROUSSEAU,Do you know where your camp is from here?
5,5,JIN,No.
5,5,ROUSSEAU,How about from the radio tower?
5,5,JIN,Yes.
5,5,ROUSSEAU,Then go with us to the tower. Then we'll find your camp.
5,5,JIN,Okay.
5,5,ROBERT,"Bon, c'est décidé. On bouge de là."
5,5,ROUSSEAU,Are you ready to go?
5,5,JIN,Yes.
5,5,ROUSSEAU,Who are you hoping to find?
5,5,JIN,My wife.
5,5,MAN ON RECORDING,"8, 15, 16, 23... 23..."
5,5,MONTAND,Par là.
5,5,ROUSSEAU,Ugh!
5,5,ROBERT,Danielle ? Qu'est qu'il y a ?
5,5,ROUSSEAU,"Rien, c'est rien."
5,5,ROBERT,"Je savais que c'était une erreur, t'es enceinte de sept mois—"
5,5,ROUSSEAU,"Robert, ça va! Elle m'a juste donné un petit coup de pied."
5,5,ROBERT,Elle ?
5,5,ROUSSEAU,Elle !
5,5,ROBERT,"Arrête ! Combien de fois on va remettre ça ? Alexandre, c'est un garçon."
5,5,ROUSSEAU,Alexandra. Ca va être une fille.
5,5,ROBERT,Unh-unh.
5,5,ROUSSEAU,Si.
5,5,ROBERT,On se repose un moment ?
5,5,ROUSSEAU,Ouais.
5,5,ROBERT,Je vais te chercher de l'eau.
5,5,ROBERT,Brennan ? T'as l'eau ?
5,5,BRENNAN,Nadine a un gourde.
5,5,ROBERT,Nadine?
5,5,BRENNAN,Nadine? Nadine!
5,5,MONTAND,"Voilà ce qui arrive quand on amène des femmes. Elle court sûrement après un papillon, quoi."
5,5,ROUSSEAU,Did you hear that?
5,5,ROBERT,What is that?
5,5,JIN,Monster.
5,5,DANIELLE,Qui est le dernier à voir Nadine?
5,5,BRENNAN,Elle était juste derrière moi.
5,5,DANIELLE,"Okay, on fait le demi tour. We go find her."
5,5,JIN,No! We must go!
5,5,MONTAND,You shut up.
5,5,MONTAND,Allez.
5,5,VARIOUS,Nadine!
