season,episode,character,sentence
3,7,ETHAN,Hello.
3,7,RACHEL,"Oh, I fell asleep."
3,7,JULIET,"With candles burning -- it's real safe. We don't have to keep doing this, you know."
3,7,RACHEL,"Are you saying that because you don't think it's going to work? Or, because you're afraid he'll find out?"
3,7,JULIET,Lift up your shirt.
3,7,JULIET,Okay.
3,7,RACHEL,Some doctor you are.
3,7,JULIET,I'm not doing this as your doctor. I'm doing it as your sister. I don't like you being here alone. Come stay with me.
3,7,RACHEL,I like living on the beach.
3,7,JULIET,"This is Miami, Rachel -- everything's on the beach."
3,7,JACK,"You have about an hour's head start before they come after you. Take a walkie, take Sawyer. Go."
3,7,KATE,"Wait, where are you? Where are you?"
3,7,JACK,"Kate, listen to me, just listen to me. Do you remember what I told you on the beach? Do you remember what story I told you when you were stitching me up? Do you remember it?!!"
3,7,KATE,"Yes, yes, I remember!"
3,7,JACK,"When you get safe, you radio me and you tell me that story."
3,7,KATE,"Jack, please."
3,7,JACK,If I don't get a call from you in the next hour I'm going to know something went wrong and he dies!
3,7,KATE,I can't leave without you!
3,7,JACK,Yes you are. Go.
3,7,KATE,"Jack, I can't!"
3,7,JACK,Go! Now!
3,7,KATE,"No, I can't!!"
3,7,JACK,"Kate, damn it, run!!!"
3,7,TOM,"Juliet, stop the bleeding and stitch him up."
3,7,JACK,She's not a surgeon; she can't fix this.
3,7,JULIET,He's right.
3,7,KATE,"Sawyer, let's go! Sawyer!!"
3,7,TOM,Then what the hell do you suggest we do?
3,7,JULIET,"Go get Danny, then find Austen and Ford and bring them back."
3,7,JACK,"No, you do that and Ben dies."
3,7,JULIET,Go.
3,7,JACK,You think I'm lying?! You think this is a bluff?! I will let him die!
3,7,JULIET,"No, Jack, you won't. Go, get them back. If you have to, kill them."
3,7,JULIET,Hello.
3,7,DIANA,Dr. Burke?
3,7,JULIET,Yes.
3,7,DIANA,This is Diana from Mittelos Bioscience. I'm calling to confirm your appointment tomorrow.
3,7,JULIET,"Two o'clock, right?"
3,7,DIANA,Two o'clock. Dr. Alpert asked me to tell you that he's very much looking forward to meeting you.
3,7,JULIET,Me too. Thank you.
3,7,DIANA,Goodbye.
3,7,EDMUND,These are the main labs... (unintelligible) ...this little baby here took most of last year's grant. You don't really want to talk about that now do you?
3,7,EDMUND,"Hello, Juliet."
3,7,JULIET,"Hey. Hey, Ed."
3,7,EDMUND,Why exactly are you here?
3,7,JULIET,"Uh, I, um -- today's lab work -- I got home and I realized I inverted some numbers."
