season,episode,character,sentence
5,12,MAN,"What have you done, Richard?"
5,12,RICHARD,Calm down. Calm down. This has nothing to do with you.
5,12,MAN,So it's true? You actually brought one of them to our Temple?
5,12,RICHARD,"He's just a boy, and he was dying."
5,12,MAN,Then you should've let him die.
5,12,RICHARD,Jacob wanted it done. The Island chooses who the Island chooses. You know that.
5,12,MAN,"Yes. Yes, of course. What's his name?"
5,12,MAN,"Hello, Benjamin."
5,12,YOUNG BEN,What happened?
5,12,MAN,You were injured.
5,12,YOUNG BEN,How?
5,12,MAN,You don't remember?
5,12,YOUNG BEN,Where am I?
5,12,MAN,You're among friends. We're going to take care of you.
5,12,YOUNG BEN,My dad -- Is he here?
5,12,MAN,You'll be back to him soon enough.
5,12,YOUNG BEN,"No. No, I don't want to go back."
5,12,MAN,"Okay, easy. Easy."
5,12,YOUNG BEN,Oh! I don't want to go back. I wanna stay. I wanna be one of you.
5,12,MAN,"Just because you're living with them doesn't mean you can't be one of us. You should be dead, Benjamin. But this Island... it saved your life."
5,12,YOUNG BEN,Who are you?
5,12,MAN,I'm Charles. Charles Widmore.
5,12,LOCKE,Ben.
5,12,LOCKE,"Hello, Ben. Welcome back to the land of the living."
5,12,BEN,My God. You're alive.
5,12,LOCKE,"Yes, I am."
5,12,BEN,I knew it. I knew that this would happen.
5,12,LOCKE,Then why are you so surprised to see me?
5,12,BEN,"Because it's one thing to believe it, John. It's another thing to see it."
5,12,LOCKE,Then why were you trying to run away to the main Island?
5,12,BEN,"I broke the rules, John. I came back to the Island. I was going to answer for what I'd done. I was going back... to be judged."
5,12,LOCKE,Judged? By whom?
5,12,BEN,"Well, J-John, we don't even have a word for it, but I believe you call it the Monster."
5,12,ILANA,Morning.
5,12,BEN,Hello. What's in the crate?
5,12,ILANA,Just some stuff we need to get moved.
5,12,BEN,Need a hand?
5,12,BRAM,"Oh, thanks. We got it."
5,12,BEN,Okay. Have a great day.
5,12,CEASAR,"How you feeling, my friend?"
5,12,BEN,"Like someone hit me with an oar, but I'll live."
5,12,CAESAR,What do you make of him?
5,12,BEN,I'm not sure. What has he told you?
5,12,CAESAR,"When you were out cold, he was watching over you. And he said you killed him."
5,12,BEN,"I killed him? Really? 'Cause he looks fine to me. You know, I don't really remember him from the plane. Do you?"
5,12,CAESAR,"No, I don't."
5,12,BEN,"What if... he was already here, before we crashed? If he thinks I killed him, then he's insane. We may be dealing with a man who's dangerously deranged. Then the question is, what are we gonna do about it?"
5,12,CAESAR,"Don't worry, my friend."
5,12,CAESAR,I have your back. Caesar.
5,12,BEN,"Pleasure to meet you, Caesar. I'm Ben."
5,12,TEENAGER,You want me to do it?
5,12,BEN,Shh.
5,12,TEENAGER,"I can do it if you want me to, Ben."
5,12,BEN,"Shut up! And stay here, Ethan."
5,12,BEN,Don't! Don't do it.
5,12,ROUSSEAU,"You're the one who infected us, aren't you?! C'est vous qui nous avez infectés!"
5,12,ROUSSEAU,Non! Non! Rendez-moi mon bébé! Non!
5,12,BEN,Shh.
5,12,ROUSSEAU,Rendez-moi mon bébé!
5,12,BEN,"It's okay. It's okay, baby."
5,12,ROUSSEAU,"Ne l'infectez pas, lui aussi! Please, don't take my Alex!"
5,12,BEN,Do you want your baby to live?
5,12,ROUSSEAU,Why are you taking her?!
5,12,BEN,"Be grateful you're still alive. Now you listen to me. If you try to follow me or if you ever come looking for me, I'll kill you. And if you want your child to live, every time you hear whispers, you run the other way."
5,12,LOCKE,What's that?
5,12,BEN,Just something sentimental.
5,12,LOCKE,"So this is your old office, huh? I never pictured you leading your people from behind a desk. It seems a little... corporate."
5,12,BEN,"Was there something that you needed, John?"
5,12,LOCKE,"Well, Ben, I was hoping that you and I could talk about the elephant in the room."
5,12,BEN,I assume you're referring to the fact that I killed you.
5,12,LOCKE,Yeah.
5,12,BEN,"It was the only way to get you back to the Island, along with as many of those who left as possible. You do remember, John--that's why you left in the first place, to convince 'em to come back? But you failed. And the only way to bring them together was by your death, and you understood that. It's why you were about to kill yourself when I stopped you."
5,12,LOCKE,"If all I had to do was die, Ben, they why did you stop me?"
5,12,BEN,"You had critical information that would've died with you. And once you'd given it to me... well, I just didn't have time to talk you back into hanging yourself. So I took a shortcut. And look at you, John. I was right. You're here. You're back. So are the rest of them. I don't know where yet exactly, but they came. It worked. And that's why I did it, because it was in the best interests of the Island."
5,12,LOCKE,I was just hoping for an apology.
5,12,LOCKE,"I've decided to help you, Ben."
5,12,BEN,Help me do what?
5,12,LOCKE,Do what you say you are on your way to do. Be judged.
5,12,BEN,"That's not something you want to see, John."
5,12,LOCKE,If everything you've done has been in the best interests of the Island... then I'm sure the Monster will understand. Let's go.
5,12,CAESAR,Hey!
5,12,CAESAR,What are you doing?
5,12,LOCKE,We're taking a boat.
5,12,CAESAR,Where?
5,12,LOCKE,Over to the main Island.
5,12,CAESAR,"I don't think so, my friend."
5,12,LOCKE,Are these your boats?
5,12,CAESAR,Are they yours?
5,12,LOCKE,"Caesar, right? I was under the impression these were found here, so I'm just gonna borrow one. I'm happy to leave the other boat for you in case you want to follow us."
5,12,CAESAR,"""Us""? Are you going with him?"
5,12,BEN,He didn't really give me a choice.
5,12,CAESAR,"I'm sorry, but I'm calling the shots here, and I say you are not taking anything. What you are going to do is to sit down and tell us how you know so much about this Island, my friend."
5,12,LOCKE,"You're in the habit of calling people ""friend"", but I don't think you mean it."
5,12,CAESAR,Step away from the boat.
5,12,LOCKE,"No. I'm not gonna step away from the boat. I'm gonna take it, and you're gonna let me, my friend."
5,12,CAESAR,You're not taking anything.
5,12,BEN,You looking for this?
5,12,BEN,This gentleman and I are taking a boat. Does anyone else have a problem with that?
5,12,BEN,Consider that my apology.
5,12,BEN,Home sweet home.
5,12,LOCKE,Looks like we're not the first ones who decided to tie up here.
5,12,BEN,"That would be Sun and Lapidus. I showed 'em where the boats were, and Sun thanked me by smashing me on the head with a paddle."
5,12,LOCKE,Oh. Is she the one that hurt your arm? I noticed you were favoring it on the way over.
5,12,BEN,No. Someone else hurt my arm.
5,12,LOCKE,"You just make friends everywhere you go, don't ya?"
5,12,BEN,"Well, I've found sometimes that friends can be significantly more dangerous than enemies, John."
5,12,LOCKE,Is that why you shot an unarmed man in the chest?
5,12,BEN,The man was unarmed because I'd stolen his gun--the gun he was going to use to kill you. I couldn't let that happen.
5,12,LOCKE,"No sense in me dying twice, right?"
5,12,BEN,You're welcome.
5,12,LOCKE,"We're going to your old house, aren't we?"
5,12,BEN,"Yes. It's the only place I can summon it... the ""monster."" Once it arrives, I'll either be forgiven... or I won't."
5,12,LOCKE,I think you're lying.
5,12,BEN,Lying about what?
5,12,LOCKE,That you want to be judged for leaving the Island and coming back because it's against the rules. I don't think you care about rules.
5,12,BEN,"Then what do I want to be judged for, John?"
5,12,LOCKE,For killing your daughter.
5,12,WIDMORE,Well? Did you do it?
5,12,BEN,We had a...
5,12,BEN,...complication.
5,12,WIDMORE,I'm sorry. Is that a... baby? Your orders were to exterminate that woman.
5,12,BEN,"Why? She's no threat to us. She's insane, Charles. Besides, you didn't tell me she had a child. What was it I was supposed to do?"
5,12,CHARLES,Kill it.
5,12,BEN,"It's not an ""it"". This is a child."
5,12,WIDMORE,"You might find this difficult to understand, Benjamin... every decision I've made has been about protecting this Island."
5,12,BEN,Is killing this baby what Jacob wants?
5,12,BEN,Then here she is.
5,12,BEN,You do it.
5,12,LOCKE,So whose idea was it to move into these houses?
5,12,BEN,Excuse me?
5,12,LOCKE,"Well, your people were living in the jungle. And then after you murdered the DHARMA folk, you relocated here. I just wondered if it was your idea."
5,12,BEN,"Do you disapprove, John?"
5,12,LOCKE,It just doesn't seem like something the Island would want.
5,12,BEN,You don't have the first idea what this Island wants.
5,12,LOCKE,Are you sure about that?
5,12,LOCKE,"That was your house, wasn't it?"
5,12,BEN,"Yes, and that's Alex's room."
5,12,LOCKE,"Well, I suppose you better go over there and check it out."
5,12,BEN,Sun?
5,12,LAPIDUS,What are you doing here?
5,12,BEN,This used to be my house. I saw a light turned on. What are the two of you doing in here?
5,12,SUN,That was taken in 1977.
5,12,BEN,Are you trying to tell me that your friends were in the DHARMA Initiative?
5,12,SUN,You don't know about this?
5,12,BEN,Of course not. Where did you get this? Who gave this to you?
5,12,LAPIDUS,We met some crazy old man outside.
