season,episode,character,sentence
4,8,LOCKE,"Thank you all for your patience. I know it's taken me a few days to... figure out our next move, but I didn't want to do anything until I knew more about our situation. You deserve to know everything that I do, so... no more secrets. As you all know, Miles here and three of his people came to the Island about a week ago. So I brought him up from the boathouse to share with us exactly why they're here."
4,8,MILES,We're here for him.
4,8,HURLEY,"Um, we kind of, like, knew that forever ago."
4,8,SAWYER,"Well, all right then. Problem solved. How soon do we turn him over?"
4,8,LOCKE,We can't turn him over.
4,8,SAWYER,And why the hell not?
4,8,BEN,"Because once they have me, their orders are to kill everyone else on the Island."
4,8,CLAIRE,"Wait. So... what, he's one of us now? You're—you're gonna protect him? He tried to kill you, John."
4,8,HURLEY,Yeah. He won't even tell us who his spy on the boat is.
4,8,BEN,It's Michael.
4,8,HURLEY,What?
4,8,BEN,My spy on the freighter is Michael.
4,8,SAWYER,I'm sorry. You mean the same guy that killed two women in cold blood to set this little bastard free? And then sold all of us out so he could get off the island? That Michael?
4,8,LOCKE,"Yes, James. That Michael."
4,8,GAULT,The rules of desertion... still apply to everyone.
4,8,GAULT,Nobody leaves this ship without my say-so! I'm not beating these men to scare you! I beat them to save your lives! Do you remember what happened to the last two men who took off in this boat?
4,8,GAULT,"You remember what happened to Minkowski? As soon as we get the engines fixed, we're back in the hunt. In the meantime, everybody just hold on. Johnson!"
4,8,MICHAEL,"Yes, sir."
4,8,GAULT,Clean this mess up.
4,8,MICHAEL,"Yes, sir."
4,8,SAYID,"Hello, Michael."
4,8,MICHAEL,"Not now, man."
4,8,SAYID,Yes. Right now.
4,8,SAYID,Why are you on this boat?
4,8,MICHAEL,I'm here to die.
4,8,SAWYER,Hey!
4,8,SAWYER,"That's a nice meetin', John, but I thought there wasn't gonna be more secrets."
4,8,JOHN,What are you talking about?
4,8,SAWYER,I'm talking about the 3 million bucks your buddy here asked for.
4,8,SAWYER,Well?
4,8,JOHN,"Yeah. Miles offered his loyalty in exchange for the money. But as I haven't seen a bank on the island, I didn't think it worth mentioning."
4,8,SAWYER,Somethin' funny?
4,8,MILES,Linus will find a way to get it.
4,8,SAWYER,And how will he do that?
4,8,MILES,"He wants to survive. And considering a week ago you had a gun to his head, and tonight he's eating pound cake... I'd say he's a guy who gets what he wants."
4,8,CLAIRE,It's fine.
4,8,KARL,"Okay, thanks."
4,8,ALEX,Bye.
4,8,CLAIRE,"Bye, guys."
4,8,ALEX,Bye.
4,8,BEN,Alex?
4,8,BEN,May I have a word with you?
4,8,ROUSSEAU,I think we've heard enough from you for one night.
