season,episode,character,sentence
1,4,MICHAEL,"Walt, you gotta keep that dog quiet."
1,4,WALT,"I don't know what's wrong with him. Come on, Vincent, cut that out."
1,4,MICHAEL,"Sorry, hey, sorry, sorry."
1,4,KATE,What is it?
1,4,CLAIRE,Somebody's in there.
1,4,SAYID,Everyone in there's dead.
1,4,JACK,Sawyer.
1,4,SAWYER,"Right behind you, Jackass."
1,4,KATE,Jack?
1,4,SAWYER,I'm gonna shed some light on this thing.
1,4,JACK,Run.
1,4,HURLEY,"Oh crud, now what?"
1,4,SAYID,They're gone.
1,4,CHARLIE,What the bloody hell was that?
1,4,LOCKE,Boars.
1,4,JACK,Those boars were looking to feed. We have to get rid of the bodies.
1,4,CHARLIE,Bury them? There's a whole bunch in there.
1,4,SAYID,More than twenty. Digging will be difficult without shovels.
1,4,JACK,We're not burying them. We need to burn them.
1,4,KATE,They're people.
1,4,JACK,"I know they're people, Kate."
1,4,SAYID,"Burning the remains, they deserve better than that."
1,4,JACK,"Better than what? Being eaten by wild animals? Because that's what's going to happen. Any bodies we bury are not going to stay buried for very long. Look, I know this seems harsh, but that fuselage in the sun—it's not about what they deserve. They're gone, and we're not."
1,4,SAYID,"What you say may be true, but for us to decide how these people are laid to rest—it's not right. No regard for their wishes? Their religions?"
1,4,JACK,We don't have time to sort out everybody's god.
1,4,CHARLIE,"Really, last I heard we were positively made of time."
1,4,JACK,"Look, I'm not happy about it either, but we crashed a thousand miles off course. They're looking for us in the wrong place. It's been 4 days, no one's come. Tomorrow morning we need everyone to start gathering up wood, dried brush, and turn that fuselage into a furnace. Wait until the sun goes down tomorrow night before we start the fire."
1,4,CHARLIE,If he's so eager to burn the bodies why are we waiting until sundown?
1,4,KATE,He's hoping someone will see it.
1,4,KATE,Looks like I'm not the only who couldn't sleep last night.
1,4,SAYID,There are better things to do with my time than collect firewood.
1,4,KATE,You don't agree with Jack. What are you making?
1,4,SAYID,Too soon to talk about. I'm not sure it will even work.
1,4,KATE,You're trying to pick up the transmission aren't you? The one we heard on the transceiver.
1,4,SAYID,If the French woman's transmission has truly been playing on a loop for 16 years then there must be a power source on the Island. A significant one.
1,4,KATE,And you can find it?
1,4,SAYID,"Hypothetically, yes. I'm making an antenna of sorts. With a few of these mounted at different points on the Island I may be able to use the transceiver to triangulate the signal, find out where it's coming from."
1,4,KATE,So what can I do to help?
1,4,SAYID,It appears you are as anxious to get off this Island as I am.
1,4,WALT,"Catch the ball, catch the ball, Vincent. Good boy, good job Vincent."
1,4,MICHAEL,"Hey, hey, where you going, man?"
1,4,WALT,"Nowhere, I just thought I'd see what Mr. Locke was doing."
1,4,MICHAEL,"Hey, why don't you help your dad with the wood. I'm sure Mr. Locke doesn't want a kid hanging around him all day anyway."
1,4,WALT,"At least he talks to me. Come on, Vincent."
1,4,HURLEY,What's your problem? Hand them over.
1,4,SAWYER,How about no?
1,4,HURLEY,There's other people here or don't you give a crap?
1,4,SAWYER,Well if one of us wouldn't eat more than his fair share...
1,4,HURLEY,Oh that's bull and you know it. You're not happy unless you're screwing over everybody...
1,4,SAWYER,"Hey I'm peachy, pork pie."
1,4,JACK,"Guys, knock it off."
1,4,SAWYER,"Stay out of this, Metro."
1,4,JACK,What's going on?
