season,episode,character,sentence
1,8,SAWYER,Hell of a book. It's about bunnies.
1,8,KATE,Must be cold without your trunks.
1,8,SAWYER,You bet. How about you come a little closer and warm me up?
1,8,KATE,"You sure know how to make a girl feel special, Sawyer."
1,8,JESS,You're incredible Sawyer.
1,8,SAWYER,"I love you. Look at you. What do you want, right now?"
1,8,JESS,How could I want anything else?
1,8,JESS,"Oh, uh-oh, baby."
1,8,SAWYER,"Oh, what."
1,8,JESS,I thought you had a meeting.
1,8,SAWYER,"Yeah, but it's not until 3:30."
1,8,JESS,"Baby, it's 3:28."
1,8,SAWYER,"Damn it. Damn it. Baby, why don't you just, uh..."
1,8,JESS,"No, just go. You go, okay, I'll stay here -- order room service, get fat."
1,8,SAWYER,"Why don't you order a chocolate sundae -- when I get back, I'll use you as a dish."
1,8,SAWYER,You weren't exactly supposed to see that.
1,8,SAWYER,"What are you doing in my stuff, son?"
1,8,JACK,This is going to hurt. Ready to tell me what happened?
1,8,SAYID,"We were trying to find the source of the distress call. I saw the flare from the beach and then the flare from Sawyer's position in the jungle. I switched on my antenna, activated the transceiver, and then -- darkness. Whoever hit me came from behind."
1,8,JACK,And destroyed the equipment?
1,8,SAYID,Yes.
1,8,JACK,"Listen, we're going to figure this out, but don't do anything..."
1,8,SAYID,I will do whatever I need to do to find the man responsible.
1,8,SHANNON,We need some help over here.
1,8,JACK,What happened?
1,8,BOONE,Sawyer.
1,8,CHARLIE,Morning delivery.
1,8,CLAIRE,"Awww, you're sweet, thanks."
1,8,CHARLIE,"Well, I figured in your condition, with the extra baggage, you know..."
1,8,CLAIRE,"Well, I can still walk."
1,8,CHARLIE,"Barely. Anyway, I worry about you out here. You know, it's very -- sunny."
1,8,CLAIRE,"Thus, my hat."
1,8,CHARLIE,"There's plenty of hats in the caves. And we've got a doctor there, as well. That'll come in handy."
1,8,CLAIRE,"I like the beach, Charlie."
1,8,CHARLIE,"Yeah, who wouldn't want to spend the day with sand fleas."
1,8,CLAIRE,I want to be here -- for when we get rescued.
1,8,CHARLIE,"When we get rescued, right."
1,8,BOONE,"Jack, it's fine. It's just a scrape."
1,8,JACK,"Yeah, lot's of scrapes today. I'm running out of peroxide."
1,8,BOONE,He just jumped me man. I didn't...
1,8,JACK,Why?
1,8,BOONE,Shannon has asthma.
1,8,JACK,Asthma?
1,8,BOONE,Yeah.
1,8,JACK,I've never seen her have an attack before.
1,8,BOONE,Because she had an inhaler. She's sneaks hits when no one's looking. She's been embarrassed about it since she was a little kid. I guess breathing's not cool.
1,8,JACK,Had an inhaler?
1,8,BOONE,It ran out a couple of days ago. But I had 4 refills which should have been enough for a couple of months. But she always forgets her medication so I put it my suitcase. Today I see that jackass reading Watership Down.
1,8,JACK,You're losing me.
1,8,BOONE,"It was in my bags, the stuff that I checked. If he has my book he has my luggage, if he has the luggage he has the inhalers. Her breathing got really rough today, man. If she has an attack, it's not going to be good."
1,8,JACK,Where is it?
1,8,SAWYER,"Hey, Doc. Long time no see."
1,8,JACK,Where is it?
1,8,SAWYER,Where's what?
1,8,JACK,The girl's asthma medicine. Shannon -- her inhalers.
1,8,SAWYER,"Oh, that."
1,8,JACK,You attacked a kid for trying to help his sick sister.
1,8,SAWYER,"No, I whooped a thief cuz he was going through my stuff."
1,8,JACK,"Yours? What makes it yours? What, you think you can just take something out of a suitcase and that makes it yours?"
1,8,SAWYER,"Which I had to move because everybody just wants to help themselves. Look, I don't know what kind of commie share-fest you're running over in cave town, but down here possession's 9/10ths. And a man's got a right to protect his property."
1,8,JACK,Get up.
1,8,SAWYER,"Why, you want to see who's taller?"
1,8,JACK,Get up.
1,8,SAWYER,"You sure you want to make this your problem, Doc?"
1,8,JACK,Oh yeah. I'm sure.
1,8,KATE,"Hey, what's going on here?"
1,8,JESS,You told me you were going to Baton Rouge to close a deal.
1,8,SAWYER,"Just trust me, there isn't any time to explain. I'm already late. I miss this meeting, the whole deal's a bust, alright? That's everything I have. 140,000 dollars. There's an oil mining operation in the Gulf of Mexico -- drilling platforms. 300,000 dollars buys one share, but as soon as you invest a Government sponsored fund kicks in and triples your money in two weeks. Triples it."
1,8,JESS,"300,000?"
1,8,SAWYER,Yeah.
1,8,JESS,You've got 140.
1,8,SAWYER,"I found an investor in Toronto -- wants in 50/50. In two weeks we'll be splitting almost a million bucks. Jess, this is my chance."
1,8,JESS,There's another option.
1,8,SAWYER,"Yeah, and what's that?"
1,8,JESS,"That I give you the 160,000 and we split the profit."
1,8,SAWYER,"Yeah, and how in the hell are you going to scare up 160,000 bucks?"
1,8,JESS,My husband.
1,8,JACK,I'm going to kill him.
1,8,KATE,That's not going to help us get the medicine.
1,8,JACK,"Maybe not, but it'll feel good."
