season,episode,act_number,characters_in_act
1,7,4,"[""MICHAEL"", ""HURLEY"", ""BOONE"", ""JACK"", ""SAYID"", ""SAWYER"", ""KATE"", ""JIN"", ""CHARLIE"", ""LIAM""]"
1,7,5,"[""HURLEY"", ""BOONE"", ""MICHAEL"", ""KATE"", ""CHARLIE"", ""JACK"", ""LIAM"", ""WALT"", ""SAYID"", ""SHANNON""]"
1,7,6,"[""HURLEY"", ""JACK"", ""CHARLIE"", ""WALT"", ""KATE"", ""LOCKE""]"
1,8,1,"[""SAWYER"", ""KATE"", ""JESS"", ""JACK"", ""SAYID"", ""SHANNON"", ""BOONE""]"
1,8,2,"[""CHARLIE"", ""CLAIRE"", ""BOONE"", ""JACK"", ""SAWYER"", ""KATE"", ""JESS""]"
1,8,3,"[""SAYID"", ""LOCKE"", ""BOONE"", ""JACK"", ""SAWYER"", ""JESS"", ""DAVID"", ""CLAIRE"", ""CHARLIE"", ""SHANNON"", ""HURLEY""]"
1,8,4,"[""HURLEY"", ""CHARLIE"", ""MICHAEL"", ""SUN"", ""SAYID"", ""KATE"", ""JACK"", ""SAWYER"", ""KILO""]"
1,8,5,"[""BOONE"", ""SAYID"", ""SHANNON"", ""MICHAEL"", ""SUN"", ""JIN"", ""SAWYER"", ""JACK"", ""DAVID"", ""JESS"", ""BOY"", ""KATE""]"
1,8,6,"[""BOONE"", ""JACK"", ""CLAIRE"", ""CHARLIE"", ""KATE"", ""SAYID""]"
1,9,1,"[""SAWYER"", ""JACK"", ""KATE""]"
1,9,2,"[""SAYID"", ""SHANNON"", ""JACK"", ""HURLEY"", ""SULLIVAN (a redshirt)"", ""SULLIVAN"", ""DANIELLE"", ""PRISONER"", ""OMAR"", ""ETHAN"", ""LOCKE"", ""WALT"", ""MICHAEL""]"
1,9,3,"[""SAYID"", ""DANIELLE"", ""OMAR"", ""NADIA"", ""WALT"", ""MICHAEL"", ""HURLEY"", ""JACK"", ""CHARLIE""]"
1,9,4,"[""MICHAEL"", ""JACK"", ""CHARLIE"", ""SULLIVAN"", ""DANIELLE"", ""SAYID"", ""NADIA"", ""BOONE"", ""SHANNON"", ""KATE"", ""SAWYER"", ""OMAR""]"
1,9,5,"[""CHARLIE"", ""HURLEY"", ""KATE"", ""JACK"", ""WALT"", ""MICHAEL"", ""SAYID"", ""NADIA"", ""OMAR"", ""DANIELLE""]"
