season,episode,character,sentence
1,22,KATE,Hi. I'm expecting a letter -- hold for guest arrival.
1,22,SANJAY,"Sure, what's your name?"
1,22,KATE,Joan Hart.
1,22,SANJAY,"Oh, Joan Hart."
1,22,CHARLIE,Platinum.
1,22,KATE,Platinum?
1,22,CHARLIE,"As in platinum record -- as in a million units sold. Now, Drive Shaft's albums must have spiked when everybody found out that I died in some catastrophic plane disaster. When I come back, alive, it's going to be insane."
1,22,KATE,So you think the raft's going to work?
1,22,CHARLIE,"Yeah, of course it will work, look at that thing. It's not a raft. They built a sodding boat. And when they get picked up, the helicopters will come, making us ridiculously and eternally famous. What's the matter, don't you want to be famous?"
1,22,KATE,What do you think is going on over there?
1,22,ARZT,"Sure, you can absolutely wait a few weeks before you launch. I was just assuming you didn't want to die."
1,22,MICHAEL,"So, when is the next time we can launch?"
1,22,ARZT,"3, maybe 4, months."
1,22,SAWYER,"C'mon, even a weather man on TV don't know what's going to happen. Why are we listening to Arzt?"
1,22,ARZT,"Because I'm a doctor, and you're a hillbilly."
1,22,SAWYER,You're a damn high school science teacher.
1,22,JACK,"Hey, Sawyer, just let the man talk."
1,22,ARZT,"It's been raining every afternoon. That means that we are on the cusp on monsoon season. Monsoon season is bad. Now, the trade winds are blowing north right now -- shipping lanes are north -- so north is exactly where you want to be."
1,22,MICHAEL,What does that mean?
1,22,ARZT,It means that when monsoon season hits the trade winds are going to shift to the south. The raft goes with the wind. Can anyone tell me what is the only piece of land that is south of us?
1,22,JACK,Antarctica.
1,22,ARZT,"That's right, Jack, Antarctica."
1,22,MICHAEL,"So, when do we have to leave?"
1,22,ARZT,Yesterday.
1,22,KATE,So obviously you believe him?
1,22,MICHAEL,"Arzt? I don't know, but I'm not taking any chances."
1,22,KATE,You think you'll be ready by tomorrow?
1,22,MICHAEL,The man said not a day to waste.
1,22,KATE,"Supplies all set? You've got food, fresh water?"
1,22,MICHAEL,"Kate, no offense, but I've got work to do. Why the sudden interest?"
1,22,KATE,Because I'm going with you.
1,22,MICHAEL,"Look, the raft's full -- we need 4, we got 4."
1,22,KATE,Including Sawyer?
1,22,MICHAEL,Including him. We needed the stuff he had so he bought his way on.
1,22,KATE,"To the first raft, which burned."
1,22,MICHAEL,"You know, I'm not going to get into semantics with you. I told the guy..."
1,22,KATE,He doesn't even know how to sail.
1,22,MICHAEL,And you do?
1,22,KATE,I spent 2 summers crewing J boats. I know my way around a sailboat.
1,22,MICHAEL,"Yeah, maybe so, but a deal's a deal. I'm sorry."
1,22,KATE,"You're bringing Walt, too? I'm just saying it's dangerous."
1,22,MICHAEL,"I decide what's best for my boy. And right now, what's best for him is to get the hell off this Island. The raft's full."
1,22,HOSPITAL ANNOUNCEMENT,Hospital chaplain to the neural ICU. Hospital chaplain please report to the neural ICU.
1,22,KATE,I have a delivery for Diane Jansen.
1,22,NURSE,"Right, she just came up from ICU. She's in room 208. It's around the corner to your right."
1,22,KATE,Thanks.
1,22,NURSE,You're welcome.
1,22,KATE,"Hey, Tom."
1,22,TOM,"Oh, Katie. What are you doing here?"
1,22,KATE,Diane's dying of cancer. I thought I owed it to her to come see her.
1,22,TOM,I heard. I'm sorry.
1,22,KATE,"Yeah, me too."
1,22,TOM,So any particular reason why you're hanging out in the back of my car?
1,22,KATE,I need your help.
1,22,SUN,"당신도 갈 거에요? 여보, 제발 나랑 얘기 좀 해요."
1,22,JIN,나도 갈 거야.
1,22,JACK,How much further?
1,22,SAYID,We're almost there.
1,22,JACK,"You want to tell me where we're going, Sayid?"
1,22,SAYID,It's better that you see it for yourself.
1,22,JACK,"No, I'm not so sure that it is. Tell me why you brought me out here or I'm going to turn around."
1,22,LOCKE,He brought you out here because I asked him to. I asked him not to tell you. I wanted you to have an open mind.
1,22,JACK,Open mind about what?
1,22,JACK,"My god, what is this thing?"
1,22,LOCKE,Exactly. I guess it's time we talked about this.
1,22,SAWYER,"Yo, chief, dumb question here -- we're sailing out in the ocean, right?"
1,22,MICHAEL,Do you mind?
1,22,SAWYER,Sulu over here is packing a suitcase full of salted fish.
1,22,MICHAEL,Yeah?
1,22,SAWYER,We can't catch fish?
1,22,MICHAEL,"Do you know anything about surviving at sea -- sailing, navigating, steering a raft?"
1,22,SAWYER,Do you?
1,22,MICHAEL,"It doesn't matter what I know, I built it. Maybe you are the wrong guy to go on the raft."
1,22,SAWYER,"You're going to vote me off, Mickey? And who the hell's going to take my place?"
1,22,SAWYER,What the hell do you think you're doing?
1,22,KATE,I'm sorry?
1,22,SAWYER,Don't give me the awe-golly eyes. Michael just told me you were jockeying for my spot on the raft.
1,22,KATE,I was just asking some questions. He must have misunderstood me.
1,22,SAWYER,I know what you're doing.
1,22,KATE,Yeah?
1,22,SAWYER,"Yeah, just like I know why you wanted that Halliburton case so bad -- the one that belonged to that U.S. Marshal who was flying with us. You were his prisoner."
1,22,KATE,Let go of me.
1,22,SAWYER,"The only chance of running is getting on that raft, ain't it? We get picked up by a ship and they come back to rescue the rest of you all -- there's going to be a nice big asterisk next to your name. Don't worry puddin', your secret's safe with me. But just so you know -- no way in hell you're getting my spot on that raft."
1,22,KATE,"Hey Sawyer. I want your spot, I'll get your spot."
1,22,MICHAEL,"Hey, give me that water, man."
1,22,WALT,"Yo, dad."
1,22,MICHAEL,Thanks.
1,22,WALT,So what were you and Sawyer arguing about?
1,22,MICHAEL,I told him something he didn't want to hear.
1,22,WALT,Why does he want to get on the raft so much?
1,22,MICHAEL,Because he knows it's going to work.
1,22,WALT,"When we get rescued we're going to come back for everybody else, right?"
1,22,MICHAEL,"Yeah, sure, of course. The thing is -- this Island, uh, is, uh -- finding it again might be hard."
1,22,WALT,Can't we fly around and look for it?
1,22,MICHAEL,"Absolutely, but there's no guarantees. That's why you and me-"
1,22,WALT,Dad?
1,22,MICHAEL,Oh . That's why you and...
1,22,WALT,Dad! Dad!
1,22,MICHAEL,Get Jack.
1,22,WALT,Help! I need help. It's my dad.
1,22,KATE,What's the matter?
1,22,WALT,His stomach is really bad.
1,22,KATE,Take him back to Michael. I'll go get Jack.
1,22,SUN,Okay. Let's go.
1,22,WALT,This way.
1,22,KATE,Jack! Jack!
1,22,JACK,How long have you known about this?
1,22,LOCKE,"3 weeks, give or take."
1,22,JACK,3 weeks. You've been out here for 3 weeks digging this thing up and you never told me about it?
1,22,LOCKE,"All due respect, Jack, but since when do I report to you?"
1,22,JACK,"All due respect, John, but you lied."
1,22,LOCKE,How long did you have that case full of guns before you decided the rest of us needed to know? You used your best discretion. I used mine.
1,22,JACK,So how do we open it?
1,22,SAYID,What? You want to open it?
1,22,JACK,Yeah.
1,22,SAYID,We should bury it! I brought you here to talk him out of this insanity. Anything could be inside!
1,22,JACK,"Best case scenario there's supplies -- worst case, we use it as a shelter."
1,22,SAYID,"Actually, Jack, I can think of much worse cases than that. You notice anything about this hatch? There's no handle. Could the reason for that be more obvious?! Maybe it was never meant to be opened from the outside."
1,22,KATE,Jack! Jack!
1,22,JACK,"Yeah, over here!"
1,22,KATE,"It's Michael, something's wrong."
1,22,JACK,What'd you eat today?
1,22,MICHAEL,"Uh, fruit, fish."
1,22,JACK,You drinking enough water?
1,22,MICHAEL,2 or 3 bottles.
1,22,JACK,Where are you getting that water from?
1,22,MICHAEL,"You know, the caves, like everybody else."
1,22,JACK,"Alright, listen, Michael, just take it easy, okay? You stay in the shade and try not to move too much, okay."
1,22,MICHAEL,No. We have to launch that raft tomorrow. We have to.
1,22,JACK,"I know, I know. I need you to lay back."
1,22,KATE,"Lay down. Just lay down, okay."
1,22,TOM,"Hello? Hey, Adam, hey, listen can you carve out some time for me on the MRI? Yeah, it's a favor for a friend of a friend. Um, no, that would work out great, okay. Yeah, thanks, Adam. His name's Conner."
1,22,KATE,How old is he?
1,22,TOM,22 months next week.
1,22,KATE,He's beautiful.
1,22,TOM,"Yeah, well, it's Rachel, it's not me."
1,22,KATE,Where is she?
