season,episode,character,sentence
3,15,KATE,Ah!
3,15,JULIET,I was just bringing you something to eat. Enjoy your sandwich.
3,15,TRUCK DRIVER,"Been on the road a while, huh?"
3,15,KATE,How long's it gonna take?
3,15,TRUCK DRIVER,"Well your fan belt's shot. Take two days, maybe three."
3,15,KATE,Three days for a fan belt?
3,15,TRUCK DRIVER,Welcome to Iowa. Name's Johnny.
3,15,KATE,I'm Lucy.
3,15,CASSIDY,They're all 18-carat gold.
3,15,MAN,"Come on, those don't look real. I'm not buying them."
3,15,JOHNNY,"If you need a lift into town, I'm finished up here in an hour."
3,15,MAN,Call the cops!
3,15,CASSIDY,"Ah fine, whatever! Your loss."
3,15,JOHNNY,"Hey, there a problem buddy?"
3,15,MAN,"Yeah, yeah, there's a problem. I'm getting scammed here, that's a problem."
3,15,CASSIDY,"Look, I'm sorry."
3,15,MAN,"What'ya think, I'm an idiot?"
3,15,CASSIDY,Hey man if you don't wanna buy 'em you don't have to buy 'em.
3,15,MAN,"Those are fake necklaces, and you're a rip-off artist."
3,15,CASSIDY,They're real.
3,15,MAN,Call the cops.
3,15,CASSIDY,"If you don't want 'em, I'll sell 'em to somebody else..."
3,15,KATE,"Hey, lemme see those. My father owns a jewelery store, I think I can spot a fake. How much?"
3,15,CASSIDY,Sixty bucks.
3,15,KATE,I'll take the one on the end.
3,15,MAN,Whatever.
3,15,CASSIDY,Thanks.
3,15,KATE,Yeah. Can I get my money back?
3,15,CASSIDY,Hey! Why'd you help me?
3,15,KATE,Just one girl watching another girl's back I guess.
3,15,CASSIDY,"Or, you're stranded here, and for some reason you didn't want that guy calling the cops."
3,15,CASSIDY,"I'll give ya a ride into town, you buy me a drink."
3,15,KATE,What?
3,15,LOCKE,Kate.
3,15,KATE,John! What are you doing? Did they capture you?
3,15,LOCKE,"Yes, but, only temporarily. I came to say goodbye."
3,15,KATE,Goodbye?
3,15,LOCKE,I'm leaving with them.
3,15,KATE,"The hell is going on, I mean, what are they doing to you, are you brainwashed? Where did Jack go?"
3,15,LOCKE,"Jack didn't go anywhere, Kate. He's gonna have to stay behind like you."
3,15,KATE,"You can't trust them. If they told you that they're going to take you home, they're lying—"
3,15,LOCKE,"I don't want to go home, Kate. I want you to know, I made a strong case for you. I told them that you were a good person. Reliable, smart, honest. And then they told me who you were and what you had done. Let's just say forgiveness isn't one of their strong suits. Good luck."
3,15,KATE,"John, where are you going?"
3,15,LOCKE,Coming out!
3,15,KATE,"Hey, just... Where is Jack, and where is Sayid, have you seen Rousseau?"
3,15,KATE,"John, please, what's happened to you?"
3,15,LOCKE,"I'm sorry, Kate."
3,15,SAWYER,The hell's wrong with you?
3,15,HURLEY,Don't look at me and pretend we're not talking. I'm not supposed to be here.
3,15,SAWYER,"Good, then scram."
3,15,HURLEY,"Dude, you need to know that... there's been some chatter. After Paulo and Nikki and everything. Well, tomorrow there's gonna to be a vote."
3,15,SAWYER,A vote for what?
3,15,HURLEY,To decide whether or not to banish you.
3,15,SAWYER,Banish me?! Where?!
3,15,HURLEY,"Well, there's debate about that, but the consensus was half a mile down the beach."
3,15,SAWYER,Consensus?
3,15,HURLEY,"I'm only saying this because there may be a way to fix it. To, like, make amends."
3,15,SAWYER,I don't do amends.
3,15,HURLEY,"Might wanna ask yourself, about all the good stuff that comes from being a part of this... society. I mean you can't even feed yourself. You use our latrine, drink the water that Steve brings every morning to the trough—"
3,15,SAWYER,Er...
3,15,HURLEY,What?
3,15,SAWYER,"You know how for three days, ten hours and fifteen minutes I ain't allowed to use nicknames?"
3,15,HURLEY,Yeah?
3,15,SAWYER,"Well, you, Sir Hugo, are rotund, annoying, and you're ruining my damned view. How's that for amends?"
3,15,HURLEY,"You're making a big mistake, dude."
3,15,SAWYER,Banish me...
3,15,CASSIDY,How 'bout you tell me your name?
3,15,KATE,It's Lucy.
3,15,CASSIDY,"And what's your real name? Next time somebody asks you, don't think about it."
3,15,KATE,I didn't thi--
3,15,CASSIDY,Not even for a second.
3,15,CASSIDY,"So, why Lucy?"
3,15,KATE,She's a saint. Memorized them all in Sunday school so I figured they're probably still all rattling around my brain.
3,15,CASSIDY,What makes a girl who went to Sunday school scared of cops?
3,15,KATE,"A few months ago, I killed my stepfather, and escaped from the Marshal who arrested me for it."
3,15,CASSIDY,Why?
3,15,KATE,Cause he was a bad guy.
3,15,CASSIDY,"So, the hell are you doing in Iowa?"
3,15,KATE,I wanna talk to my mother.
3,15,CASSIDY,"You're gonna have a real hard time doing that. Because if you did what you just said you did, then the Feds are gonna be watching her 24/7."
3,15,KATE,I'll figure something out.
3,15,CASSIDY,"Oh you will, huh?"
3,15,KATE,"What, you wanna help me?"
3,15,CASSIDY,Absolutely.
3,15,KATE,Why?
3,15,CASSIDY,"I fell in love with the wrong guy. And then I gave him my life savings. He conned me, and embarrassed me. He was a bad guy. So, I'll help you get the meeting with your Mom, Lucy, because one of us deserves something good."
3,15,SAWYER,I ain't gonna get the Korean vote.
3,15,SAWYER,"Oh, oh, what the... shoo! Come here, come on..."
3,15,SAWYER,"Alright, let's do it."
3,15,HURLEY,Do what?
3,15,SAWYER,"I'm ready to do it. Make amends. Change the vote. I don't wanna be banished, OK? You happy?"
3,15,HURLEY,"Dude you stink. What is that, fish?"
3,15,SAWYER,No.
3,15,HURLEY,"Did you try to gut one yourself? How have you not learned that by now? I mean we've been here like, three months."
3,15,SAWYER,Can we just do this?
3,15,HURLEY,Do what?
3,15,SAWYER,Make nice!
3,15,HURLEY,Apologize for calling me all those names.
3,15,SAWYER,I'm really sorry I called you rotund.
3,15,HURLEY,Really?
3,15,SAWYER,"Ah God, you're worse than a girl. Come on, let's, spread the love."
3,15,JULIET,What the hell am I doing here?
3,15,KATE,Why don't you tell me.
3,15,JULIET,I dunno.
3,15,KATE,"Well, I dunno either, so why don't you let go of my wrist."
3,15,KATE,So what the hell happened?
3,15,JULIET,I was making a cup of tea. Canister came in through the window.
3,15,KATE,So what did you do to piss em off?
3,15,JULIET,"You're wasting your time. The knife is too big, you need something smaller, a safety pin or.."
3,15,KATE,We're going back.
3,15,JULIET,"What? They did this to us, why would we go back?"
3,15,KATE,"You say ""they"" like you didn't lock me in a cage and watch me break rocks all day. We're going back to your village because... my friends were probably gassed just like us. And your people are gone anyway. I saw them all pack up and leave."
3,15,JULIET,What?
3,15,KATE,"Locke came in and said goodbye. They were taking off, going somewhere else."
3,15,JULIET,"Going, going where?"
3,15,KATE,He didn't... exactly tell me. Welcome to the wonderful world of not knowing what the hell's going on.
3,15,FEDERAL AGENT,Go go go!
3,15,EDWARD MARS,On the ground!
3,15,MARS,"Get down! On the ground! Let me see those hands. Let me see those hands! Long time no see, Austen."
3,15,MARS,Who the hell are you?
3,15,CASSIDY,I'm just selling Bibles!
3,15,CASSIDY,"Hi. They questioned for half an hour. He confiscated my case. He was asking me about selling Bibles and... ah, it's a good thing I know how to lie."
3,15,KATE,"Yeah, now we know what we're up against, right?"
3,15,CASSIDY,"Yeah, now we know that there were six guys waiting to take you down, Lucy."
3,15,KATE,"Yeah, it's OK, I'll figure it out."
3,15,CASSIDY,"Figure it out? That Marshal, I don't know what you did to him, but if he ever gets his hands on you, it is going to be you or him."
3,15,KATE,"Look, if you've changed your mind. If you don't wanna help me, I get it."
3,15,CASSIDY,"No, I do wanna help you, but if I'm lying to federal agents, Lucy, so that you can have a chat with your Mom, then I at least need to know that there's a pretty good reason."
3,15,KATE,"He, uh, used to get drunk, and beat up my Mom. So I blew up his house. I made it look like an accident. A gas leak. Took out an insurance policy on the house, for her. Set her up for life. And then she gave me up. Chose him over me. So the reason I need to talk to her is, someone I love, someone who's supposed to care about me, betrayed me. And I wanna know why!"
3,15,CASSIDY,"Well, then let's go find out."
3,15,JULIET,What are you doing?
3,15,KATE,"Whoever dragged us out here left a trail, it'll lead us back to where we came from. Let's go."
3,15,JULIET,It's gonna rain. Don't you think we should wait 'til morning?
3,15,KATE,No.
3,15,KATE,Why?
3,15,JULIET,Why what?
3,15,KATE,Why would they handcuff you to me and then drag us all the way out into the jungle?
3,15,JULIET,Ben has a thing for mind games.
3,15,KATE,That why he left you behind?
3,15,JULIET,Do we really have to talk?
3,15,KATE,Nope.
3,15,KATE,"Come on, if the trail gets wet, I'll lose it."
3,15,JULIET,I hope you're not dragging me all the way back there with you for him.
3,15,KATE,Excuse me?!
3,15,JULIET,"I hope you're not going back for Jack. Because I was standing right there, when he told you not to come back. And now that you've ruined his chance to get off the Island--"
3,15,KATE,You done? I SAID ARE YOU DONE?!
3,15,KATE,"I... I'm sorry, I, I didn't mean to..."
3,15,JULIET,What the hell is that?!
3,15,KATE,Get up.
3,15,JULIET,You dislocated my shoulder!
3,15,KATE,"GET, UP!"
3,15,KATE,"Quick, in here! Come on. Get in. Come on, get down, get down."
3,15,JULIET,What the hell?
3,15,KATE,Shh... up.
3,15,JULIET,Are we safe?
3,15,KATE,You tell me.
3,15,SAWYER,I ain't kissing no damn baby.
3,15,HURLEY,"Claire's, like, really influential. If she votes for you to stay, you're home free dude."
3,15,SAWYER,"Well, why wouldn't she vote for me? It's not like I ever done anything bad to her."
3,15,HURLEY,"Nah, but you never did anything good for her either. And have you ever even asked how Aaron is?"
3,15,SAWYER,"Wel,l I know how he is. He... cries loud and he smells."
3,15,HURLEY,"You see, that's what I'm talking about. You're sarcastic, people don't like that."
3,15,SAWYER,Alright. So I go over. Do what?
3,15,HURLEY,"Moms love it when you show an interest in their babies. You should go over there, say something nice. Call her Claire. And give her this I know you can do it, dude."
3,15,SAWYER,"Hey, Claire."
3,15,CLAIRE,Hey.
3,15,SAWYER,"Hey there, little baby ... Aaron."
3,15,CLAIRE,"Is, er, is there anything I can do for you?"
3,15,SAWYER,"No. I just came by to say, your baby's... he's not as wrinkly as he was a couple weeks ago."
3,15,CLAIRE,"Yeah, I, I guess he's not. Thanks!"
3,15,SAWYER,"Oh, and er, this is for you."
3,15,CLAIRE,Thank you.
3,15,SAWYER,"I don't like, blankets. Well, goodnight."
3,15,CLAIRE,Goodnight.
3,15,JULIET,Do you think it's gone? Are we safe?
3,15,KATE,Are you serious? You've never seen that?
3,15,JULIET,"Oh, if you don't believe me, you can always pull my other shoulder out of its socket."
3,15,KATE,"I was, I wasn't trying to..."
3,15,JULIET,Don't flatter yourself. This is the fourth time it's been dislocated.
3,15,JULIET,Give me your hand.
3,15,KATE,Why?
3,15,JULIET,Cause I want you to pop it back in.
3,15,KATE,"No, I'm not gonna..."
3,15,JULIET,"You're gonna. Right now it feels like there's broken glass under my skin, and if it weren't for you, I would be on my way home right now."
3,15,KATE,Jack told me not to come back to protect me. Because he didn't want me to get hurt.
3,15,JULIET,Is that what you think?
3,15,KATE,Yeah that's what I think.
3,15,JULIET,"We have cameras on the cages, Kate. All of them. He saw you, you and Sawyer. The reason Jack told you not to come back, wasn't because he didn't want you to get hurt, it was because you broke his heart. So, grab my wrist, push up and twist!"
3,15,SAWYER,Why do we gotta be out here so damn early?
3,15,DESMOND,"You asked me to help you catch a boar. Well, this is when they break cover to eat."
3,15,SAWYER,Looks like they picked a day to sleep in.
3,15,DESMOND,"So what's your angle, brother?"
3,15,SAWYER,My angle?
3,15,DESMOND,"Well, you... haven't spoken three words to me and then, suddenly you want to be my hunting partner."
3,15,SAWYER,"My angle, is that I got hearts and minds to change. And politics is all about bribes. Since money don't mean squat on this Island, I gotta give the people something they like. And people like meat..."
3,15,DESMOND,Shh.
3,15,KATE,How's your shoulder?
3,15,JULIET,Awesome.
3,15,KATE,Then let's get going.
3,15,CASSIDY,Thank you.
3,15,DIANE,You're welcome sweetheart.
3,15,CASSIDY,"Oh my God, I'm so sorry, I'm so sorry."
3,15,DIANE,No worries.
3,15,CASSIDY,I'm such an idiot.
3,15,DIANE,"It happens all the time, sweetheart."
3,15,DIANE,"Uh, thank you."
3,15,KATE,"Hi, Mom."
3,15,DIANE,"What are you doing here, Katherine?"
3,15,KATE,You look good.
3,15,DIANE,I asked you what you are doing here.
3,15,KATE,I wanna know why you told them what I did to Wayne.
3,15,DIANE,I thought maybe you came 'cause you wanted to say you were sorry.
3,15,KATE,"I'm not sorry. He hit you, he treated you like a dog, and you..."
3,15,DIANE,"You can't help who you love, Katherine. And for good or bad, I loved him. And you burnt him alive. You turned on the gas, and you lit a match. You murdered him in cold blood!"
3,15,KATE,I did it for you.
3,15,DIANE,"No. What you did, you did for yourself. I have to go back to work. Because you are my daughter, I'm not going to tell the two men sitting at the table who've been following me for the last month that you are here. But I swear to God, Katie, if I ever see you again, the first thing I will do is yell for help. Goodbye."
3,15,KATE,Did he say that to you?
3,15,JULIET,Sorry?
3,15,KATE,That I broke his heart.
3,15,JULIET,He didn't have to.
3,15,KATE,You don't know anything about him.
3,15,JULIET,"I know where he was born. I know what his parents did for a living. I know that he was married. And who he was married to. I know why he got a divorce. I know how his father died. I know his height, his weight, his birthday, and his blood type. What do you know about him, Kate?"
3,15,KATE,Let's go.
3,15,KATE,"Run, run, run."
3,15,KATE,"Get up, run, run, come on."
3,15,KATE,Stop.
3,15,JULIET,"Wait, what are you doing?"
3,15,KATE,I know what happens when you step through those things...
3,15,JULIET,They're off. Kate! We can—
3,15,KATE,We'll go alongside—
3,15,JULIET,"We don't need to, we can go—"
3,15,KATE,...Go around...
3,15,JULIET,...They're off...... dammit.
3,15,JULIET,You're gonna wanna be over here.
3,15,JULIET,"Kate, come on!"
3,15,JULIET,"Alright. We don't know what it is, but we know it doesn't like our fences..."
3,15,KATE,You had a key.
3,15,JULIET,"They left me behind too, they gassed me! I know that you don't care, but the people I spent the last three years of my life with, they just left me! I thought that maybe, maybe if I could make you think that we were in it together. Maybe I wouldn't get left behind again."
3,15,SAWYER,Ahaha.
3,15,CHARLIE,"Mmm. Ah, its delicious."
3,15,SAWYER,Just a little DHARMA-A1 and paprika. I hope you'll remember this little barbecue at your meeting later.
3,15,CHARLIE,Oh what meeting?
3,15,SAWYER,Hurley told me about the vote.
3,15,CHARLIE,Vote? Since when did anyone around here vote?
3,15,SAWYER,You son of a bitch. There wasn't ever gonna be no vote.
3,15,HURLEY,"But, wasn't it nice, being nice."
3,15,SAWYER,You tricked me into being decent. That's gotta be the lamest con in the history of cons.
3,15,HURLEY,"Wasn't a con, dude. If you're gonna be our temporary leader, you need to do some damage control."
3,15,SAWYER,Leader? The hell are you smokin'?
3,15,HURLEY,"Jack's gone. Locke's gone. Kate and Sayid. You're all we got. And Paulo and Nikki dying, we all looked to you. Then again, you totally tried to steal the diamonds, but we wanted to look to you. Look around, you made everyone happy. Just for today, they can eat boar, laugh and forget that they're totally screwed. And you did that for 'em, dude. You."
3,15,SAWYER,"Well, what if I don't wanna be the leader?"
3,15,HURLEY,"Yeah well, I don't think Jack wanted it either. Sucks for you, dude."
3,15,JULIET,Sayid's in one of those backyards down there. I'll go get him. You should get Jack.
3,15,KATE,"Jack, Jack, hey, wake up, its me."
3,15,JACK,What happened?
3,15,KATE,They all left.
3,15,JACK,What? What?
3,15,KATE,Because of me. I'm so sorry. I should have listened to you. I never— I wanted to come back to help you. But you didn't need me to. And now because of me you can't go.
3,15,KATE,I'm so sorry. I am so sorry.
3,15,JACK,"They just, left? Even, even Juliet?"
3,15,KATE,"No, they left her too."
3,15,JACK,Why?
3,15,KATE,You know her better than I do. Now what?
3,15,JACK,"Now, now we go back."
3,15,KATE,"Thanks for everything, Cassidy."
3,15,CASSIDY,You got it.
3,15,KATE,"So, this guy who ripped ya off. You gonna give me his name? Tell me where I can find him? You almost got arrested for me Cassidy, I wanna help you."
3,15,CASSIDY,I'm pregnant.
3,15,KATE,Oh.
3,15,CASSIDY,"It's his, the baby's his. And I still love him."
3,15,KATE,"So call the cops, have him locked up."
3,15,CASSIDY,Will you ever forgive your Mom for calling the cops?
3,15,KATE,"No, no I won't."
3,15,CASSIDY,"Thanks, Lucy."
3,15,KATE,My name's Kate.
3,15,JACK,Hey.
3,15,JULIET,Hey.
3,15,JACK,You OK?
3,15,JULIET,Yeah. You?
3,15,JACK,Yeah.
3,15,SAYID,Jack.
3,15,JACK,Sayid.
3,15,SAYID,"I've checked all the house, everyone's gone, no weapons, no trail..."
3,15,KATE,Hey.
3,15,SAYID,...it's like 50 people disappeared into thin air.
3,15,JACK,We should take what we can find and head out while we still got light.
3,15,SAYID,She is not coming with us.
3,15,JACK,"Yes, she is."
3,15,SAYID,Why?
3,15,JACK,Because they left her behind too.
