season,episode,character,sentence
2,5,SUN,It's been 4 days.
2,5,CLAIRE,"You know, that's not that long. They said it could take up to 2 weeks to find a current. I mean, Michael knew what he was doing. I doubt anything would have..."
2,5,SUN,어머 어떡해. 어떡해... 어디갔지? 어디갔지? 어딨어?
2,5,CLAIRE,What? What?
2,5,SUN,제발...
2,5,CLAIRE,"Sun, what's wrong?"
2,5,SUN,"My wedding ring, it's gone."
2,5,MRS. PAIK,얘야. 너 그 옷 입고 나갈거야?
2,5,SUN,이 옷이 어때서?
2,5,SUN,왜? 나 그 신발 마음에 드는데!
2,5,MRS. PAIK,"괜찮지만, 넌 오늘 이것을 신어라. 남자 키가 너보다 작을 수가 있잖아."
2,5,SUN,말도 안돼 정말...
2,5,MRS. PAIK,대학 때 남자를 만났으면 지금 중매쟁이도 필요 없잖아!
2,5,SUN,대학을 연애하러 다니나? 공부하러 다니지.
2,5,MRS. PAIK,"4년 대학 졸업하고, 넌 지금 은메달이야! 그러니까 동메달이 되기 전에 남자를 찾아야지."
2,5,SUN,"때가 되면, 내 남편감은 내가 찾을게요."
2,5,MRS. PAIK,니 아빠가 그 때가 지금이라고 말하셨어.
2,5,TAI,"정말이야, 임마! 너 올해가 애정의 운세네."
2,5,JIN,그래? 그렇게 나왔다면 믿어 봐야지.
2,5,TAI,야 우리 할머니도 할아버지를 그렇게 만났어. 그리고 말이야 이 책은 한번도 틀린 적이 없거든.
2,5,JIN,"어떤 여잔데? 아니, 어떻게 생겼는지 알아야 만나면 알아보지."
2,5,TAI,오렌지.
2,5,JIN,오렌지.
2,5,TAI,너의 사랑은 오렌지야!
2,5,JIN,"야, 내 주제에 결혼은 무슨! 내 입에 풀칠하기도 바쁜데."
2,5,TAI,"야, 요즘 능력있는 여자가 얼마나 많은데 그러냐?"
2,5,JIN,"남자가 자존심이 있지... 임마, 인생의 목표가 있어야지! 남보다 열심히 일해서 승진도 빨리 하고 성공해야지. 남들이 어부의 자식놈이라고 업신여기지 못하게..."
2,5,TAI,"자식, 1차 면접보고 되게 그러네."
2,5,JIN,"나에겐 인생의 중대사야 임마. 자, 어때? 멋있지?"
2,5,TAI,"멋있다. 야야야, 그 가격표는 떼어야지!"
2,5,JIN,무슨 소리야? 내일 백화점에 어떻게 반환하라고? 이 넥타이 얼마나 비싼건데!
2,5,TAI,진수야. 운명의 여자가 나타나면 뭐라고 전해줄까?
2,5,JIN,기다리라고 해.
2,5,MICHAEL,"Hey man, it's okay. Sun -- you'll be with her again. Soon, okay. Hey, I think they're trying to figure out what to do with us."
2,5,SAWYER,I think they're going to eat us.
2,5,ANA LUCIA,"All right, all of you -- get up. We're moving out."
2,5,MICHAEL,Moving out where?
2,5,ANA LUCIA,You're going to help us get food and water.
2,5,SAWYER,What -- we work for you now?
2,5,ANA LUCIA,You're going to do it because we have a long walk ahead of us.
2,5,SAWYER,A long walk where?
2,5,ANA LUCIA,Back to where you came from.
2,5,ANA LUCIA,All clear.
2,5,SAWYER,"Hey Mike, I think we ought to stage a prison break here."
2,5,MICHAEL,"Yeah, well I want to figure out what the hell's going on over here before I make any decisions about anything."
2,5,ANA LUCIA,"Okay people, listen up. We need to gather as much food and water as we can. You travel in pairs. You move as fast as you can. Don't make any noise."
2,5,MICHAEL,Maybe you could just take a minute to explain us what the hell is going on over here that's got you all so on edge.
2,5,ANA LUCIA,"You know what? That's a great idea, maybe we can swap stories on the road."
2,5,LEADER,I'm going to go scout before we move.
2,5,SAWYER,I think she needs to be slapped.
2,5,ANA LUCIA,"Cindy, go with him. Libby, see what fruit you can gather. Take him with you."
2,5,LIBBY,His name is Michael.
