season,episode,character,sentence
1,23,MICHAEL,What are you doing?
1,23,WALT,Watching TV.
1,23,MICHAEL,"Oh, man, do you see what time it is? Go back to sleep, Walt."
1,23,WALT,I always watch this show.
1,23,MICHAEL,"Okay, then, can you at least turn it down a little."
1,23,MICHAEL,"I said turn it down, Walt."
1,23,WALT,Brian lets me watch it as loud as I want.
1,23,MICHAEL,I'm not Brian.
1,23,WALT,"Let's go, Vincent."
1,23,MICHAEL,"Hey, where do you think you're going? Hey, Walt."
1,23,WALT,Get away from me! Leave me alone!
1,23,MICHAEL,Don't even - don't you think about it.
1,23,WALT,I said get away from me!
1,23,MICHAEL,Don't you walk away from me.
1,23,MICHAEL,"Look, I don't think so. Come on."
1,23,WALT,Get off of me!
1,23,MICHAEL,"I don't like this either, but you're getting on that plane."
1,23,WALT,"No, I'm not!"
1,23,STEVE,What's going on?
1,23,MICHAEL,"It's okay, I'm his father."
1,23,WALT,"No, you're not. You're not my father! You're not my father!"
1,23,WALT,"Dad! Dad, wake up!"
1,23,MICHAEL,What? What?
1,23,WALT,Somebody's here.
1,23,MICHAEL,"Hey, hey, hey, hey, stop, slow, slow down. Stay right there. Who is that?"
1,23,SAWYER,She's got to be the French chick.
1,23,SAYID,Calm down everyone. It's alright.
1,23,SAYID,Danielle? Danielle? What are you doing here?
1,23,DANIELLE,The Others are coming.
1,23,DANIELLE,"Our ship went aground on this Island 16 years ago. There were 6 of us -- my team, 6. At that time I was already 7 months pregnant. I delivered the infant myself. The baby and I were together for only 1 week when I saw black smoke -- a pillar of black smoke 5 kilometers inland. That night they came, they came and took her -- Alex. They took my baby. And now, they're coming again. They're coming for all of you."
1,23,JACK,Who's coming?
1,23,DANIELLE,"The Others. You have only 3 choices: run, hide, or die."
1,23,JACK,"This is a woman who blew up her own shelter. And now she's talking about seeing black smoke and hearing whispers. I mean, she's not playing with a full deck."
1,23,LOCKE,That doesn't mean that what she's saying isn't true.
1,23,JACK,"Well, if you want to focus on the ""what if,"", be my guest, but I've got to stick with what's tangible. And right now, that's the launching of the raft."
1,23,JACK,How's it going?
1,23,MICHAEL,"I wanted to get off today, but, realistically, man, after we get the rudder done, we've still got to lay the rails to get it down to the water."
1,23,JIN,Good.
1,23,JACK,Wouldn't it save time if we were laying the rails while you were finishing the rudder?
1,23,MICHAEL,Manpower shortage.
1,23,JACK,What do you need to lay the rails and then move the boat?
1,23,MICHAEL,To get it all done today? Pretty much everybody.
1,23,JACK,"Alright, give me 20 minutes."
1,23,JACK,"Grab as many palm tree logs as you can find, the longer the better. Take them over to the raft area and Michael will know what to do with them."
1,23,REDSHIRT,Okay.
1,23,MICHAEL,"You need to get them in there tight. You need leverage to get them on the rails. Good, that's good. Okay, that's good man. Just get it under there, okay? Okay. You alright?"
1,23,LOCKE,Yep.
1,23,MICHAEL,"So, listen, on my count - I'll do 1-2-3—lift and then push, okay? Got it? Okay, c'mon. Once we get it down to the water line, we'll drop it and load it up. Alright. Ready. 1-2-3! Lift!"
1,23,MICHAEL,"Push! Push, c'mon guys, push, push! Use the levers, use the levers! Good, good. 1-2-3, lift!"
1,23,MICHAEL,I can't believe this Can't believe it.
1,23,SAWYER,What are you looking at me for?! It's not my fault!
1,23,MICHAEL,You missed a lever!
1,23,SAWYER,Because you couldn't keep the raft going straight!
1,23,MICHAEL,I couldn't keep the boat going straight? Everybody's attention-
1,23,WALT,Dad! Look.
1,23,JACK,How many of them are there?
1,23,DANIELLE,I told you all I know.
1,23,SAYID,There has to be more you tell us. How did you know?
1,23,DANIELLE,"You have a bigger problem. I can vanish into the jungle, but I'm just one person. You have 40 people. Where will you hide them?"
1,23,HURLEY,Dude. Whoa.
1,23,DANIELLE,What is this?
1,23,JACK,We were hoping you could tell us.
1,23,DANIELLE,I have never seen anything like it.
1,23,HURLEY,"Uh, question -- how do we know we can all, like, fit in there?"
1,23,LOCKE,"No handle on the outside, means there must be another way in. Another entrance means space."
1,23,SAYID,"This is a mistake. We don't know anything about these Others. We're reacting with no information, no intelligence. This hatch might even be theirs. Black smoke on the horizon doesn't mean they're-"
1,23,DANIELLE,It means they're coming!
1,23,JACK,"Yeah, we got that."
1,23,LOCKE,You booby-trapped your shelter with explosives. You have any more?
1,23,DANIELLE,"Dynamite, at the Black Rock, in the dark territory."
1,23,HURLEY,"Well, that's 3 reasons to go right there."
1,23,DANIELLE,If we're to make it back by sunset we have to leave within the hour.
1,23,ANA LUCIA,"Tequila and tonic with a wedge of lemon. Why were you yelling? -- The girl, at the check-in counter? You were yelling at her."
1,23,JACK,"I'm sorry, uh, do I know you?"
1,23,ANA LUCIA,"I'm on your flight. LA? So your dad died, huh?"
1,23,JACK,I thought you didn't hear what I was yelling about.
1,23,ANA LUCIA,I was being polite.
1,23,JACK,Yeah. My dad died.
1,23,ANA LUCIA,How?
1,23,JACK,A heart attack.
1,23,ANA LUCIA,"Not a drinker, huh?"
1,23,JACK,"No, no, not really."
1,23,ANA LUCIA,No ring because you're single or because you don't like wearing one?
1,23,JACK,You asking me if I'm married?
1,23,ANA LUCIA,Are you married?
1,23,JACK,"No. No, not any more. Can we get another tequila and tonic, please?"
1,23,ANA LUCIA,I didn't think you were listening.
1,23,JACK,"So, what's your name?"
1,23,ANA LUCIA,Ana Lucia.
1,23,JACK,"So, tell me, Ana Lucia, why are you drinking tequila and tonics at ten to noon?"
1,23,ANA LUCIA,I hate flying. And they stuck me all the way in the back of the plane where the wheels come down right under your damn feet. So where are you sitting?
1,23,JACK,23B.
1,23,ANA LUCIA,"42F. Wanna trade? Hey, yeah. I'm in Sydney. Hold on. Sorry..."
1,23,JACK,Jack.
1,23,ANA LUCIA,"Jack, I've got to talk. We'll have the next drink on the plane, okay?"
1,23,JACK,42F.
1,23,ANA LUCIA,"42F, right. And Jack, the worst part's over."
