season,episode,character,sentence
4,2,MAN 1,"Sorry, Ron. Drone's got nothing but seafood at five thousand meters below. You picking up anything with yours?"
4,2,RON,Zip. Trying to get her a peek over this ridge as soon as I can. Sonar's picking up something now.
4,2,MAN 1,"Hey, you wanna switch feeds?"
4,2,RON,Roger that.
4,2,RON,I'm headed on a bearing of about 137 from the coordinates we pulled off our guy's map. But don't hold your breath.
4,2,MAN 1,Magnetometer's picking up a hell of a lot of anomalies around here.
4,2,RON,Chests full of doubloons?
4,2,MAN 1,"Keep dreaming, Ron. Let's swing round to the next grid and recalibrate."
4,2,MAN 1,Are you getting this?
4,2,RON,"What, what's up?"
4,2,MAN 1,"It's... It's an airplane. Oh my god, it's Oceanic 815."
4,2,NEWSCASTER,"This haunting footage comes to us from the Christiane I, a salvage vehicle in the Indian Ocean. For more than two months, it's been scouring the depths of the Sunda Trench off Bali, in search of the remains of sunken trading ships. Late last night, the Christiane deployed two remotely operated vehicles, or ROVs, that verified what the National Transportation Safety Board had long feared, that the commercial..."
4,2,WOMAN 1,"How do you want your eggs, Dan? So what happened, they find that missing plane? Dan? Dan? Dan, why are you so upset?"
4,2,DANIEL,I don't know.
4,2,WOMAN 2,I can't find my vest!
4,2,MAN 2,Check under your seat!
4,2,WOMAN 2,I already did!
4,2,PILOT,Get ready!
4,2,MAN 2,"Here, just take mine!"
4,2,PILOT,Everybody out now!
4,2,MAN 2,"Hey, genius, go!"
4,2,DANIEL,No!
4,2,MAN 2,Go!
4,2,DANIEL,No!
4,2,DANIEL,Hey there. Are you Jack?
4,2,JACK,"Yeah, I'm Jack. Who are you?"
4,2,DANIEL,I'm Daniel Faraday. I'm here to rescue you.
4,2,JACK,"Hey, Dan, the chopper, how many of you were on it?"
4,2,DANIEL,"Er, four, including me."
4,2,KATE,So what happened to the rest of them?
4,2,DANIEL,"Yeah, yeah, I, er, I have no idea, I dunno how many were able to get out before it went down, I just, I jumped and I lost my, er, what do you call it, my pack, and my phone was in my pack, if I had my phone, I would just, er..."
4,2,KATE,We have a phone.
4,2,DANIEL,You have a phone.
