season,episode,character,sentence
2,13,LOCKE,Is that all of them?
2,13,JACK,"All 6 of them. And there's uh, 1 box of ammo."
2,13,LOCKE,"At least we don't have to worry about running out any time soon. Jack, I'm grateful that you decided to keep them all in the same place. Oh, I had to take them from Charlie -- his heroin stash. I figure it might have therapeutic value, if it ever came to that."
2,13,JACK,You're just going to leave it all in the statues?
2,13,LOCKE,"You want to break 7 Virgin Maries, be my guest. I'm superstitious."
2,13,JACK,"John, the combination."
2,13,LOCKE,"I'm going to go ahead and assume that you're asking me because you're worried that I might fall off a cliff or something, that it would be irresponsible for just one of us to have access to this room, rather than this being an issue of trust."
2,13,JACK,"Well, there are a lot of cliffs on this island, John."
2,13,LOCKE,"Alright, but I think we should agree, Jack, that if either of us need to open this door, we consult each other first."
2,13,JACK,Absolutely.
2,13,LOCKE,"Right 7, left 33, right 18. You need to write it down?"
2,13,JACK,"Nope, I got it."
2,13,LOCKE,"Alright. And, Jack, you may want to consider locking the medicine in here, too."
2,13,JACK,Why would I need to do that?
2,13,SAWYER,"Well, well, now look who had to relocate to the suburbs. Ain't that just like a woman? She keeps the house and you get the cheap-ass apartment. Man, I thought these people hated me, but I've got to hand it to you -- stealing a baby, trying to drown it -- now, that's a new low. You even made Locke take a swing at you. Hell, that's like getting Gandhi to beat his kids."
2,13,CHARLIE,Shouldn't you be more worried about Jack ransacking your tent right now?
2,13,SAWYER,What?
2,13,SAWYER,What the hell do you think you're doing?
2,13,JACK,You stole these from the Hatch.
2,13,SAWYER,You stole them from me.
2,13,JACK,What?
2,13,SAWYER,They were in my stash when I left. I just took back what was mine.
2,13,JACK,"These belong to all of us, Sawyer -- to the group. You don't have a stash anymore."
2,13,SAWYER,"Seriously, Doc, you don't want to do this. Just give me the pills. We'll forget it ever happened."
2,13,JACK,Are you threatening me?
2,13,SAWYER,"Last chance, Doc."
2,13,SAWYER,What do you want -- right now?
2,13,CASSIDY,Just you.
2,13,SAWYER,"Oh, damn it!"
2,13,CASSIDY,What is it?
2,13,SAWYER,I'm going to be late to that meeting I told you about.
2,13,CASSIDY,"Meeting, huh? You got another date you could just say so."
2,13,SAWYER,"I can only wrap my mind around one woman at a time -- but I appreciate the permission. Back in flash, gorgeous. You weren't exactly supposed to see that."
2,13,CASSIDY,Are you serious?
2,13,SAWYER,What?
2,13,CASSIDY,You're not serious. You just happen to have a suitcase full of cash? And you go to pick it up and the lock just happens to break?
2,13,SAWYER,Give me that.
2,13,CASSIDY,"It's not even real. Newspaper? Are you trying to con me? What, I ask you what all the money's for and you do some song and dance about an investment or something? And then I say, ""Oh, hey, I've got some money."""
2,13,SAWYER,"Look, you got me. Good for you. No harm, no foul."
2,13,CASSIDY,You should have done your homework. I didn't take anything from him in the divorce. I'm not even worth your trouble.
2,13,SAWYER,"Well, shame on me."
2,13,CASSIDY,I want you to show me what you do. Show me what you do -- what you really do.
2,13,SAWYER,And what do I do?
2,13,CASSIDY,"Show me how to con people, Sawyer."
2,13,KATE,I like what you've done with the place.
2,13,SAWYER,Maid's day off. You want to move?
2,13,KATE,I heard Jack took your pain killers.
2,13,SAWYER,"Well, I guess me and the Doc are on the outs. One less Christmas card I'll have to send this year."
2,13,KATE,Maybe that'll cheer you up. It's from the Hatch. I know you're hard up for new reading material.
2,13,SAWYER,"Well, as much as I'd like to learn to feather my hair , I lost my damn glasses on the raft. You want to read it to me? What, you got an appointment or something?"
