season,episode,character,sentence
1,14,MICHAEL,Walt! Walt! Walt! Walt!
1,14,CHARLIE,"Hey, Michael, you seen Claire's bags?"
1,14,MICHAEL,You seen my son?
1,14,CHARLIE,You seen her bags?
1,14,MICHAEL,Claire's?
1,14,CHARLIE,Her luggage. It's not been brought back here. No one seems to know what's happened to it.
1,14,MICHAEL,"Uh, sorry man, I don't know. I'm just looking for Walt."
1,14,CHARLIE,"Oh, got it. Sorry, I've not seen him."
1,14,MICHAEL,"Hey, Jack, you see my boy when you were out there?"
1,14,JACK,"No, he was at the caves."
1,14,MICHAEL,"Yeah, he took his dog for a walk. I told him to stay close, as usual. You listened to your old man when you were 10, right?"
1,14,JACK,"Uh, yeah, yeah, I listened. Maybe a little too well."
1,14,HURLEY,"Yo, dudes. Got a new tourney lined up. We're playing for the last of the deodorant sticks. You dogs up for some golf?"
1,14,MICHAEL,"I have to go find my kid. Hey, if Walt shows up, you tell him I said stay right here until I get back."
1,14,JACK,You got it.
1,14,MICHAEL,Walt! Walt!
1,14,HURLEY,"He seems to hate it, doesn't he?"
1,14,JACK,What?
1,14,HURLEY,Being a dad.
1,14,JACK,"No, it's just a lot of hard work."
1,14,HURLEY,No. He hates it.
1,14,MICHAEL,Walt!
1,14,MICHAEL,This is the one. This is definitely my baby's crib.
1,14,SUSAN,"Uh-huh, beautiful. It'll look great in the alley we'll be living in. This is 3 months rent."
1,14,MICHAEL,"What? It's not 3 -- look, don't you want the best for this kid?"
1,14,SUSAN,"I know you're excited, but, Michael, we can't afford this."
1,14,MICHAEL,"Our baby in this crib? C'mon, that's a happy kid. Hey, I talked to Andy, he said he could throw some work my way."
1,14,SUSAN,Construction? What about your art?
1,14,MICHAEL,"No, no, no, no. I'm not giving it up. I'm just going to take a break until you finish law school, pass the bar, get hired by some fancy-ass high paying law firm..."
1,14,SUSAN,Somebody's got it all figured out.
1,14,MICHAEL,"Yeah, I'll get back to painting eventually. Meanwhile, you can support me and Walt in a manner to which we'll soon become accustomed."
1,14,SUSAN,"Walt, huh?"
1,14,MICHAEL,"I'd like to do that, you know, name him after my dad."
1,14,SUSAN,Walter. Walter Lloyd.
1,14,MICHAEL,"Lloyd? Oh, all right. That's why you won't marry me. It's not that you think marriage is too prosaic, you just want him to have your last name."
1,14,SUSAN,"Hey, you want me to agree to Walter, or what?"
1,14,WALT,"Man, I suck."
1,14,LOCKE,You can do better than that.
1,14,BOONE,You might want to take it easy on him.
1,14,LOCKE,"See this knot, Walt? I want you to aim for it, right here. Focus on it, alright? Picture it in your mind's eye. You know what that is, right? The mind's eye?"
1,14,WALT,Like a picture in your head or...
1,14,LOCKE,That's right. Now do it again. But see it. See it before you do it. Visualize the path. See it. See it.
1,14,BOONE,Whoa.
1,14,WALT,Yes!
1,14,LOCKE,"I knew you had it in you, Walt."
1,14,WALT,"It was weird. I actually saw it, in my mind or something, like it was real."
1,14,LOCKE,Who's to say it wasn't?
1,14,MICHAEL,Hey! What the hell is going on? Give me that.
1,14,WALT,"But, I was..."
1,14,MICHAEL,Take Vincent and go back to camp.
1,14,WALT,"But, Mr. Locke was..."
1,14,MICHAEL,"Now, little man."
1,14,MICHAEL,You gave my boy a knife?
1,14,LOCKE,You should have seen what...
1,14,MICHAEL,"Hey, don't tell me what I should have seen, man! If we were back home, I'd call the police on your ass! Encouraging a kid to sneak away from his parent?! Giving him a knife like this?!"
1,14,LOCKE,Walt knows his own mind.
1,14,MICHAEL,"Hey, don't talk about my son like you know him!"
1,14,LOCKE,You really need to calm down.
1,14,MICHAEL,"You keep playing my son against me, and I'm going to have a-"
1,14,BOONE,The man said calm down.
1,14,MICHAEL,What are you his attack dog?
1,14,LOCKE,"Easy, easy, easy. You're the one that was waving the knife around. He was just trying to make sure you didn't hurt someone. Michael, I know it's been difficult to bond with your son. You know why he's formed an attachment to me? Because I treat him like an adult. You still treat him like a boy."
1,14,MICHAEL,He's 10 years old.
1,14,LOCKE,"He's been through more than most people in their entire lifetimes. Maybe you haven't spent enough time with him to see it, but he's different."
1,14,MICHAEL,What did you say?
1,14,LOCKE,"And we're not back home, Michael. As long as we're here, I think Walt should be allowed to realize his potential."
1,14,MICHAEL,Stay away from my son. And me.
1,14,MICHAEL,"You're not taking him. You're not taking my son. You can go if you want to, but Walt stays with me."
1,14,SUSAN,I'm trying to have a discussion with you.
1,14,MICHAEL,"No you're not. You're talking about going to Amsterdam, just you and him. How is that a discussion?"
1,14,SUSAN,"It's an offer, Michael. And that's where the job is."
1,14,MICHAEL,You said you were happy. What about the legal clinic being a good fit? You said that...
1,14,SUSAN,This is a huge opportunity. You know I've always wanted to do international law.
1,14,MICHAEL,Am I supposed to be happy for you over here? For your huge opportunity?
1,14,SUSAN,We've talked about taking some time apart.
1,14,MICHAEL,"Look, babe, I thought that was -- hey, we said a lot of things. You said you wanted to live on a boat."
1,14,SUSAN,"I still love you. You know, I do, but, Michael, we've been through so much in such a short time. Things..."
1,14,MICHAEL,"Babe, we've got problems, right, that's what people have. You want to go to counseling? I'm down with that, let's go, alright? Oh, man, you already took it, didn't you -- the job?"
1,14,SUSAN,"Yeah, I did. You haven't worked in months."
1,14,MICHAEL,Construction slows in the winter -- I already told you that.
1,14,SUSAN,I can provide for him. I'll give him everything he needs.
1,14,MICHAEL,"Except for his dad. He's not going with you, so, no!"
1,14,SUSAN,You really want to argue with me about this?
1,14,MICHAEL,Hell yes! There are laws against this kind of thing.
1,14,SUSAN,"We're not married, Michael. I'm his mother and I'm steadily employed. Who do you think court's going to side with? -- This is not goodbye forever. I just -- I need some time."
1,14,SUN,Are you alright?
1,14,MICHAEL,"No, I'm okay. Thanks. I just don't know how to talk him. How to get him to --, you know, understand I'm on his side. Locke says I should stop treating him like a child. I missed his whole childhood, so -- this can't happen."
1,14,SUN,What?
1,14,MICHAEL,He can't grow up here. He can't grow up in this place.
1,14,SAYID,"Once I realized these equations were coordinates, latitude and longitude, I assumed the French woman was trying to determine the location of the Island. But it was incomplete, the notations fragmented."
1,14,SHANNON,Except for the fish song.
1,14,SAYID,MmHmm.
1,14,JACK,The what?
1,14,SAYID,"But when I laid the pages down like this I realized it wasn't showing the location of the Island. I think it's a location on the Island. Specifically, here."
1,14,JACK,So where are we in relation to the triangle?
