season,episode,character,sentence
4,10,JULIET,"Jack! Jack! Jack? Jack, I need you to wake up. Jack! Can you hear me? You okay?"
4,10,BERNARD,Come on! Come on! I just wanna know why.
4,10,JACK,What happened?
4,10,JULIET,Here.
4,10,ROSE,He knows somethin'!
4,10,BERNARD,I want the truth!
4,10,DANIEL,"I don't know. That's the truth. I'm telling you, I don't know why, but there's no signal now."
4,10,BERNARD,"Signal? What, there was a signal when you called them last night."
4,10,ROSE,That's right.
4,10,BERNARD,So—so—so what? Now they're just ignoring us?
4,10,CHARLOTTE,How are we supposed to know why they're not answering?
4,10,ROSE,"Oh, who's talking to you?"
4,10,CHARLOTTE,"And in case you haven't noticed, we're not on the bloody boat, are we?"
4,10,ROSE,"Just watch your tone, Red."
4,10,BERNARD,I just wanna know why.
4,10,JACK,"Hey! Everybody just needs to calm down, okay?"
4,10,BERNARD,"Jack, these people are lying to us."
4,10,JACK,"I know they're lying. I know it. Sooner or later, their people are gonna come back for them, and when they do, we'll be waiting for them."
4,10,SUN,Unless they run off again.
4,10,JACK,Listen to me.
4,10,ROSE,"Jack, are you all right?"
4,10,JACK,"No, I'm fine. We just have to be patient, okay? I've gotten us this far. I said I was gonna get us off the Island — all of us. I promised that I would."
4,10,ROSE,Jack? Jack?
4,10,BERNARD,Jack?
4,10,JULIET,Jack.
4,10,ROSE,Is he all right?
4,10,JULIET,Jack? Jack.
4,10,JACK,Hello?
4,10,JANE,"Dr. Shephard? Just confirming your 11:00 consult with Ms. Berenberg. It was moved up yesterday, and I know how you are with your calendar."
4,10,JACK,"Yeah. Yeah, I remember, Jane. I'll, um... I'll be in there."
4,10,JANE,"Thank you, doctor."
4,10,JACK,Alright. Bye.
4,10,JACK,Ow. Son of a bitch.
4,10,JACK,A-Rod.
4,10,JACK,Morning.
4,10,WOMAN,Morning yourself. I bought you a razor.
4,10,JACK,"What, you don't like the scruff?"
4,10,WOMAN,"Razor's by the sink, Jack."
4,10,JACK,Morning.
4,10,JACK,"""Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: Dear, dear! How queer everything is to-day! And yesterday things went on just as usual. I wonder if I've been changed in the night. Let me think. Was I the same when I got up this morning?"
4,10,JACK,"But if I'm not the same, the next question is, 'Who in the world am I?' Aha, that's the great puzzle."""
4,10,KATE,You're a natural.
4,10,JACK,Yeah?
4,10,KATE,Yeah.
4,10,JACK,My old man used to read me that story.
4,10,KATE,Really?
4,10,JACK,What?
4,10,KATE,It's just... it's just sweet hearing you say nice things about your dad.
4,10,JACK,"I don't say nice things about my dad? Well, he was a good storyteller. I'll give him that. Hey. You okay?"
4,10,KATE,"Yeah. Just, I... I love seeing you with him. I'm so glad you changed your mind. I'm so glad that you're here."
4,10,JACK,"Me, too."
4,10,JULIET,"Keep him in the shade. I'll get him some water. Give—give him some air, guys."
4,10,JULIET,You okay?
4,10,JACK,Yeah. I'm fine. I'm good. I'm good.
4,10,KATE,"Hey, what happened?"
4,10,JULIET,He passed out.
4,10,KATE,You fainted?
4,10,JACK,"I'm fine. I'm just, uh... I'm just a little dehydrated."
4,10,KATE,"No, Jack. You're not okay. You're burning up."
4,10,JACK,I'm fine. I'm fine. I just... just need to get a little rest.
4,10,JULIET,Jack—
4,10,JACK,I'm fine.
4,10,CLAIRE,Oh!
4,10,SAWYER,You okay?
4,10,CLAIRE,"Yeah, just a bit woozy."
4,10,SAWYER,How's your head?
4,10,CLAIRE,"It's better. Bit of a headache, but at least I'm not seeing things anymore."
4,10,MILES,Yeah? What'd you see?
4,10,SAWYER,"Back off, Donger."
4,10,MILES,I'm just making conversation.
4,10,SAWYER,"Let's make some time. I wanna cover more ground before we gotta camp tonight. If we hoof it, we can make it to the beach by noon tomorrow."
4,10,SAWYER,What?
4,10,SAWYER,Hey. Hey!
4,10,MILES,Who's Danielle and Karl?
4,10,CLAIRE,Y—you mean Rousseau? The French woman?
4,10,CLAIRE,"Oh, my God."
4,10,MILES,Is this your French woman?
4,10,SAWYER,Karl. How'd you know they were down there? Your buddies do this?
4,10,MILES,"They're not my buddies, man. I didn't sign up for this."
4,10,CLAIRE,"Can we just—can we just get out of here, please? Can we just go?"
4,10,SAWYER,"Yeah, yeah, of course. But don't worry. Once we get back to the beach, everything's gonna be fine. All right? Come on. Let's go."
4,10,JACK,Ahh. I hate being sick.
4,10,JULIET,What do you think it is?
4,10,JACK,It's food poisoning.
4,10,JULIET,What makes you think that?
4,10,JACK,"I've got some cramping, dehydrated, nausea."
4,10,JULIET,I respectfully disagree.
4,10,JACK,Do you?
4,10,JULIET,You want to lift your shirt up?
4,10,JULIET,"If it's food poisoning, you got nothing to worry about."
4,10,JULIET,"It's your appendix, Jack. When did the pain start?"
4,10,JACK,Yesterday.
4,10,JULIET,Has it ruptured?
4,10,JACK,Not yet.
4,10,JULIET,Well... I guess we're just gonna have to take it out.
4,10,JULIET,Do you remember where the medical station is or don't you?
4,10,SUN,"Yes, I remember."
4,10,JULIET,These are the instruments that I need you to bring back. You'll find them in the drawers in the exam room.
4,10,SUN,"""Clamps""? ""Sutures""? Juliet, I don't know what these look like."
4,10,DAN,I can help you. I'm familiar with surgical instruments. Uh...
4,10,JULIET,I thought you were a physicist.
4,10,DAN,"Yeah, well, I've done some animal autopsies, too, so if—if—"
4,10,JIN,No.
4,10,SUN,We can't trust them.
4,10,CHARLOTTE,"See, Dan? I told you. They're convinced we're trying to kill 'em. Might as well keep playing the part."
4,10,DAN,"Damn it, Charlotte. That right there, that right there. Your—your attitude — your very bad attitude — it's exactly why they don't trust us. Come on. Juliet, please. Don't blame us for—for this, for whatever is happening. We're scientists. We don't want anyone to get hurt. We just wanna help. Please let us help."
4,10,JULIET,"If either of them tries to run, shoot 'em in the leg. Get back here as fast as you can."
4,10,SUN,Okay.
4,10,DAN,Thank you.
4,10,JULIET,"We need to create a sterile environment. Find a hard surface, wash it down, gather as many tarps as you can."
4,10,KATE,"Hey Juliet. If everything that we need is at the medical station, then why don't we just bring Jack there?"
4,10,JULIET,"Because if we move him, there's a good chance that his appendix will rupture. And if that happens, he's gonna die."
4,10,SAWYER,Don't even think about it.
4,10,MILES,What?
4,10,SAWYER,Don't look at her. Don't talk to her. Don't mess with her. You got a restraining order. Twenty feet.
4,10,MILES,"What are you, her big brother?"
4,10,SAWYER,"No. I'm the guy who's gonna put a boot in your face unless you say, ""Yeah, I getcha."""
4,10,MILES,"Yeah, I getcha."
4,10,BERNARD,"Honey, I am sure Jack is gonna be okay. An appendectomy is just about the most common kind of surgery there is."
4,10,ROSE,"That's not what I was thinking about. I was thinking, ""Why did he get sick?"""
4,10,BERNARD,Why? It's just—it's just bad luck.
4,10,ROSE,"The day before we're all supposed to be rescued, the person that we count on the most suddenly comes down with a life-threatening condition, and you're chalking it up to bad luck?"
4,10,BERNARD,"Well, what are you saying, that—that Jack did something to offend the gods? People get sick, Rose."
4,10,ROSE,"Not here. Here, they get better."
4,10,JACK,When was the last time you did this?
4,10,JULIET,An appendectomy or shaving a man's stomach?
4,10,JULIET,In my residency. I did a lot of 'em back then.
4,10,JACK,Then you know the incision needs to be two inches lower than where you're shaving.
4,10,JULIET,I'm just cleaning the area. Thank you.
4,10,JACK,I wanna talk you through it.
4,10,JULIET,What?
4,10,JACK,"I don't want to be unconscious. We can use the lidocaine to numb the area. And then I can watch the procedure, help you out."
4,10,JULIET,"And, uh, how are you gonna watch, flat on your back with my hand in your abdominal cavity?"
