season,episode,character,sentence
3,19,LOCKE,Save your breath. Nobody's gonna hear you.
3,19,LOCKE,Dad? What is this?
3,19,BEN,You tell me. You brought him here.
3,19,LOCKE,I didn't bring him here.
3,19,BEN,"I'd be careful about getting too close to him, John."
3,19,LOCKE,Where did you find him? Why did you bring him here?
3,19,BEN,I already said. We didn't.
3,19,LOCKE,You want me to ask him how he got here?
3,19,BEN,Be my guest.
3,19,BEN,Tom!
3,19,BEN,"I warned you, John."
3,19,COOPER,"Don't you know, John? Don't you know where we are?"
3,19,LOCKE,What did he mean?
3,19,BEN,"I'm afraid we don't have time to deal with that right now, John. We're leaving first thing in the morning, all of us."
3,19,LOCKE,Where are you going?
3,19,BEN,"We're going to a new place. Well, an old place, actually. Would you like to come with us?"
3,19,LOCKE,Yes.
3,19,BEN,"Good. We're holding Kate a few buildings over from here, maybe you'd like to say goodbye."
3,19,SAWYER,"Hey, where you going?"
3,19,KATE,I can't sleep if I'm not in my own tent.
3,19,SAWYER,"Fine, let's go to your tent."
3,19,KATE,"Um... its nothing personal, it's just... old habits, you know?"
3,19,SAWYER,"Fine, scram."
3,19,SAWYER,You want me to walk you home?
3,19,KATE,"It's five tents, I think I'll make it."
3,19,SAWYER,Sure? I gotta pee anyway.
3,19,KATE,That is so romantic.
3,19,SAWYER,What the hell are y'all doing?
3,19,HURLEY,What the hell are you doing?
3,19,SAWYER,Going to take a leak.
3,19,HURLEY,"Yeah well, so were we."
3,19,SAWYER,Well alrightey then.
3,19,LOCKE,"Hello, James."
3,19,LOCKE,Wanna zip your pants up?
3,19,SAWYER,The hell are you doing here?
3,19,LOCKE,"Looking for you, actually."
3,19,SAWYER,"OK Tarzan, so now that you're back from your blow-up-everything-that-could-get-us-off-the-Island tour, how 'bout you tell me why you joined up with the damn enemy?"
3,19,LOCKE,I didn't join them. I infiltrated them.
3,19,SAWYER,You're undercover with the Others.
3,19,LOCKE,That's right.
3,19,SAWYER,But how 'bout you give me one reason to believe that?
3,19,LOCKE,"Because a few hours ago I snuck into Ben's tent and kidnapped him. I tied him up, dragged him off into the jungle."
3,19,SAWYER,And you came all the way back here to tell me this because...?
3,19,LOCKE,"Because this is the same man who tortured you, beat you, humiliated you. And I want you to kill him."
3,19,SAWYER,"You want him dead, you kill him."
3,19,LOCKE,I'm not a murderer.
3,19,SAWYER,Neither am I!
3,19,LOCKE,"'Cept for the man you killed in Sydney. They got files on us, James. All of us."
3,19,SAWYER,"Yeah well, their file's got their facts wrong."
3,19,LOCKE,Then I made a mistake coming to you. Please don't tell anyone that I was here.
3,19,SAWYER,"Hey, stop."
3,19,SAWYER,I said stop!
3,19,SAWYER,Dammit! Wait up.
3,19,LOCKE,There. That ought to do it.
3,19,CINDY,Thanks. That would have taken me hours to do myself.
3,19,LOCKE,Glad I could help.
3,19,CINDY,Don't mind them. They're all just excited you're here.
3,19,LOCKE,Excited?
3,19,CINDY,We've been waiting for you.
3,19,TOM,John. You got a minute?
3,19,LOCKE,Yeah.
3,19,TOM,Ben's asking for ya.
3,19,LOCKE,OK.
3,19,JULIET,"Ben, it's 6 a.m. on Saturday morning. Kwon is pregnant, the fetus is healthy and was conceived on-Island with her husband; he was sterile before they got here..."
3,19,BEN,"Hello, John. Thanks for coming."
3,19,LOCKE,What's that?
3,19,BEN,Juliet is gathering information for us at your former camp. She's determining if any of the women are pregnant. Then we're gonna go in and... take them.
3,19,LOCKE,Take them?
3,19,BEN,"This is not the first time we've done this, John. Trust me, no one will get hurt."
3,19,BEN,Could you pass me that please?
3,19,BEN,Thank you.
3,19,BEN,"I believe I have you to thank for this, John."
3,19,LOCKE,Me?
3,19,BEN,"A week ago I couldn't move my toes. But the minute you showed up, I started to feel pins and needles. And this is only the beginning, John. I can't wait to show you what this Island can do. But unfortunately, you're not ready, John."
3,19,LOCKE,"Well er, no, I'm ready."
3,19,BEN,"No, John, you're not. You're still crippled by the memories of the man you used to be before you came to this Island. And you'll never be free until you release the hold that your father has over you. Why do you think you brought him here?"
3,19,LOCKE,"Oh oh oh, the, magic box, OK Ben, how about you show me—"
3,19,BEN,"The magic box is a metaphor, John. I can't show you anything until you can show me that you're ready and willing to be one of us. When people join us here on this Island, they need to make a gesture of free will, of commitment. That's why you're gonna have to kill your father."
3,19,JACK,Hey. When'd you get back?
3,19,CHARLIE,"Jack. Hey. Uh, last night. Well, early this morning."
3,19,JACK,"So, camping huh? What were you guys doing out there?"
3,19,CHARLIE,"We figured we'd, er, explore a bit. You know, see what was further down the beach. Male bonding."
3,19,JACK,"Well, next time you go out, sign me up."
3,19,CHARLIE,"Yeah, next time. Sure."
3,19,CHARLIE,"Thanks, Jin. We have to tell Jack."
3,19,HURLEY,"Yeah, I mean shouldn't he check out her wound?"
3,19,DESMOND,"Can you give me your word that Jack can be trusted? Now, he spent 10 days with those people and then nothing happened to him? And that woman he's spending all his time with—"
3,19,CHARLIE,Juliet?
3,19,DESMOND,"Aye, Juliet. Two weeks ago she had your friends in cages. Naomi... I mean, you heard everything that she said. If we keep her safe, she's our way off this Island. So given that, do you trust Jack? Or don't you?"
3,19,DESMOND,Right. So you better bring us someone we can trust.
3,19,LOCKE,You should have put some shoes on.
3,19,SAWYER,Ya think? So what else is in it?
3,19,LOCKE,In what?
3,19,SAWYER,The file they got on me.
3,19,LOCKE,Not much. That your parents died when you were very young. But it doesn't say why your father shot your mother or why he turned the gun on himself. That must have been hard for you.
3,19,SAWYER,What else?
3,19,LOCKE,"High school transcripts. Uh, criminal record. All the con jobs you were arrested for. I guess that's why you use an alias, huh? Why did you choose the name Sawyer—"
3,19,SAWYER,"How stupid do you think I am, huh?! I've already been conned by Ben once. Maybe you heard about it, bunny with a number painted on it. Think I'm just gonna follow you through the jungle—"
3,19,LOCKE,"James, please, you have to, you have to trust me..."
3,19,SAWYER,Where are you taking me? Tell me the truth! What do you want from me?!
3,19,LOCKE,I'm bringing you there to do exactly what I said. I need you to kill Ben.
3,19,SAWYER,Why did you come back to get me?
3,19,LOCKE,I had to.
3,19,SAWYER,Why me?! Why won't you do it yourself?
3,19,LOCKE,"James, please!"
3,19,SAWYER,Don't call me James! Why won't you do it yourself?!
