season,episode,character,sentence
5,7,ILANA,Caesar.
5,7,CAESAR,Ilana. What's up?
5,7,ILANA,Find anything?
5,7,CAESAR,No. Nothing useful.
5,7,ILANA,Then what'd you just put in your bag?
5,7,CAESAR,...Oh.
5,7,CAESAR,"If you want it, it's yours."
5,7,ILANA,We found someone—a man.
5,7,CAESAR,What?
5,7,ILANA,"Roxanne was scouting just south of here, and he was just standing in the water. He's wearing a suit."
5,7,CAESAR,Nobody recognizes him?
5,7,ILANA,"No. Whoever he is, he didn't come with us."
5,7,CAESAR,Then how do we know he isn't one of the ones who disappeared?
5,7,ILANA,He's not.
5,7,CAESAR,And how do you know?
5,7,ILANA,Because he wasn't on the plane.
5,7,CAESAR,What did this man have to say?
5,7,ILANA,You can ask him yourself.
5,7,CAESAR,Hello.
5,7,MAN,Hello.
5,7,CAESAR,My name is Caesar. What's yours?
5,7,LOCKE,My name is John Locke.
5,7,ILANA,Morning.
5,7,LOCKE,Hello.
5,7,ILANA,Breakfast?
5,7,ILANA,We found a tree. They're pretty good.
5,7,LOCKE,Much obliged.
5,7,ILANA,I'm Ilana.
5,7,LOCKE,John. Are those your boats?
5,7,ILANA,"No. They were already here. There used to be three, but the pilot and some woman took one. Didn't tell anyone, just ran off in the middle of the night."
5,7,LOCKE,The pilot of the plane that brought you here?
5,7,ILANA,Yes. That's right.
5,7,LOCKE,Do you have a passenger list?
5,7,ILANA,You'll have to talk to Caesar.
5,7,LOCKE,Mmm. I think this is the best mango I've ever eaten.
5,7,ILANA,Nobody remembers you being on the plane.
5,7,LOCKE,"Well, I don't remember being on it either."
5,7,ILANA,What do you remember?
5,7,LOCKE,I remember a lot.
5,7,ILANA,Like why you're dressed up so nice?
5,7,LOCKE,"No, but I can guess."
5,7,ILANA,Please. Guess.
5,7,LOCKE,I think this suit is what they were gonna bury me in.
5,7,ILANA,Sorry?
5,7,LOCKE,You asked what I remembered. I remember dying.
5,7,CHRISTIAN,"Good luck, John."
5,7,CHRISTIAN,Say hello to my son.
5,7,LOCKE,Who's your son?
5,7,LOCKE,Aah!
5,7,LOCKE,"If anybody is there, can you help me?!"
5,7,LOCKE,Aah! Aah!
5,7,LOCKE,Hey! No! Hey! Hey!
5,7,MAN #1,هذا هو
5,7,MAN #1,يالا
5,7,MAN #2,ارفع ارفع
5,7,MAN #1,يالا
5,7,MAN #2,لا تخليه يسير
5,7,MAN #1,ساعدني
5,7,LOCKE,Aah! Aah! God! Aah!
5,7,MAN #2,امسكوه على اليمين
5,7,MAN #2,ارميه في السيارة
5,7,LOCKE,Aah!
5,7,MAN #3,حاسب حاسب
5,7,MAN #2,قفل السيارة
5,7,LOCKE,Aah! Aah!
5,7,MAN,هذا هو الرجل.. اللي بقولكم عليه
5,7,LOCKE,Aah! God!
5,7,LOCKE,Where is this? Where am I?
5,7,DOCTOR,ضحى
5,7,LOCKE,Where am I? Where is this?
5,7,DOCTOR,جيبوه.. جيبوه لهون
5,7,DOCTOR,شوي شوي.. شوي
5,7,MAN,اسمع كلام الدكتور
5,7,LOCKE,Aah!
5,7,LOCKE,"Sir, where am I? Who are you?"
5,7,LOCKE,Where am I? Do you speak English?
5,7,DOCTOR,عايشة!
5,7,DOCTOR,You swallow.
5,7,DOCTOR,Swallow.
5,7,MAN,رجله.. رجله مكسرة
5,7,DOCTOR,Don't talk!
5,7,DOCTOR,Ayesha!
5,7,NURSE,عايشة، الدكتور مستعجل
5,7,NURSE,آه
5,7,AYESHA,حاضر
5,7,LOCKE,Where are we?
5,7,DOCTOR,شدو، شدو.. شدوه
5,7,LOCKE,Oh—what? What? What? What—
5,7,DOCTOR,You bite. Bite!
5,7,DOCTOR,عد لثلاثة
5,7,DOCTOR,ثلاثة
5,7,NURSE,شاكي من رجله
5,7,MAN,"John? John, wake up."
5,7,LOCKE,Mm.
5,7,MAN,"You had a compound fracture. The doctors here did their best, but I had a specialist flown in to reset your leg properly."
5,7,WIDMORE,"It's nice to see you again, John."
5,7,LOCKE,Do I know you?
5,7,WIDMORE,"Yes. I understand your being confused. Imagine how I feel. I met you when I was 17. And now all these years later, here we are. You look exactly the same."
5,7,LOCKE,Who are you?
5,7,WIDMORE,My name is Charles Widmore.
5,7,WIDMORE,"Tell me, John. How long has it been for you since... we first met, since you walked into our camp and you spoke to Richard?"
5,7,LOCKE,Four days.
5,7,WIDMORE,That's incredible.
5,7,LOCKE,The camera in the desert—that was yours?
5,7,WIDMORE,Yeah.
5,7,LOCKE,How did you know I'd be there?
5,7,WIDMORE,"Well, that's the exit. I was afraid Benjamin might fool you into leaving the Island, as he did with me. I was their leader."
5,7,LOCKE,The Others?
5,7,WIDMORE,"They're not the ""Others"" to me. They're my people. We protected the Island peacefully for more than three decades. But then I was exiled... by him... just as you were."
5,7,LOCKE,No. Ben wasn't even there when I left. He was already gone. I—I... I wasn't exiled. I... chose to leave.
5,7,WIDMORE,"Why... would you do that, John? You've come to bring them back... the ones who left."
5,7,LOCKE,No.
5,7,WIDMORE,I understand you lying to me. I do. But there's something you should know. All your friends who left the Island? They've been back three years.
5,7,LOCKE,Three years?
5,7,WIDMORE,They've gone back to their normal lives.
5,7,WIDMORE,And none of them has spoken a word of truth about where they were.
5,7,LOCKE,I have to bring them back.
5,7,WIDMORE,And I'm gonna do everything in my power to help you do that.
5,7,LOCKE,Why?
5,7,WIDMORE,"""Why""?"
5,7,LOCKE,Why would you help me?
5,7,WIDMORE,"Because there's a war coming, John. And if you're not back on the Island when that happens, the wrong side is going to win."
5,7,LOCKE,"""Jeremy Bentham""?"
5,7,WIDMORE,"He was a British philosopher. Your parents had a sense of humor when they named you, so why can't I? This should be money enough for now. The phone's international. If you need to reach me, for anything, just press 2-3. The folder contains your people's whereabouts, everyone that was on the Island that left."
5,7,LOCKE,You've been watching them?
5,7,WIDMORE,"I'm deeply invested in the future of the Island, John. So, yes, I've been watching them. I wouldn't mention I'm involved in this. I can't imagine what they think of me, having listened to Benjamin's lies."
5,7,LOCKE,How do I know that you're not the one who's lying?
5,7,WIDMORE,I haven't tried to kill you. Would you say the same for him?
5,7,WIDMORE,You still don't trust me.
5,7,LOCKE,"You sent a team of killers and a boatload of C-4 to the Island. That... doesn't exactly scream ""trust."""
5,7,WIDMORE,I needed Linus removed... so it could be your time.
5,7,LOCKE,Right.
5,7,WIDMORE,"The Island needs you, John. It has for a long time."
5,7,LOCKE,What makes you think I'm so special?
5,7,WIDMORE,Because you are.
5,7,WIDMORE,Ah. Your chariot has arrived.
5,7,LOCKE,He said I would die.
5,7,WIDMORE,I beg your pardon?
5,7,LOCKE,Richard Alpert. He said the only way to get them to come back was if I died.
5,7,WIDMORE,"I don't know why he said that, but I'm not gonna let that happen. This is Matthew Abaddon. He'll take you anywhere you need to go, protect you from whomever intends to do you harm."
5,7,ABADDON,Mr. Locke.
5,7,WIDMORE,"Good luck, John, and godspeed."
5,7,ABADDON,"Anything you need, Mr. Locke, you just let me know. Anything. Anybody from your past you want me to look up for you? The whole world thinks you're dead, Mr. Locke. There must be somebody who'd be happy to see you."
5,7,LOCKE,Please don't talk to me.
5,7,ABADDON,You got it.
5,7,ABADDON,"But we're almost at the airport, so you're gonna at least have to tell me where we're going first."
5,7,LOCKE,Santo Domingo.
5,7,WOMAN,Andale!
5,7,SAYID,Espera. Necesito terminar este techo. Paseme otra viga.
5,7,MAN,"Hey, Sayid! Mira! Tienes un visitante."
5,7,SAYID,I don't believe this. You actually want me to go back?
5,7,LOCKE,"I—I know how it sounds, Sayid, but you have to trust me. This is the only way to save them."
5,7,SAYID,"I'm not going back. For two years, I was manipulated into thinking I was protecting everyone on the Island."
5,7,LOCKE,Who was manipulating you?
5,7,SAYID,"Ben. So who is manipulating you, John?"
5,7,LOCKE,"This is coming from me, nobody else. I know you, Sayid. And deep down in your heart, you know we never should've left the Island."
5,7,SAYID,"It's only because I left the Island that I was finally able to marry the woman I loved. We spent nine months together—the best nine months of my life, John. That's what I know in my heart."
5,7,LOCKE,Where is she now?
5,7,SAYID,She was murdered.
5,7,LOCKE,Uh... I'm sorry.
5,7,SAYID,Why do you really need to go back? Is it just because you have nowhere else to go?
5,7,LOCKE,"If you change your mind, I'll be staying under the name ""Jeremy Bentham"" in L.A. at the Westerfield Hotel."
5,7,SAYID,"And if you change your mind, you're welcome to come back here and do some real good. Good-bye, John."
5,7,LOCKE,You asked if there was someone you could look up for me.
5,7,ABADDON,"Yes, I did."
5,7,LOCKE,Her name is Helen—Helen Norwood—and she was living in Los Angeles.
5,7,ABADDON,She an old girlfriend of yours?
5,7,LOCKE,Help me get out of the car.
5,7,ABADDON,"So that's Michael Dawson's son, huh?"
5,7,LOCKE,Yeah.
5,7,ABADDON,Boy's gotten big.
5,7,WALT,"Um, I'm—I'm-a be right back. I'm-a go."
5,7,BOY,All right.
5,7,WALT,I'm-a be right back.
5,7,BOY,All right.
5,7,ABADDON,I'll give you two some privacy.
5,7,WALT,"Hey, John."
