season,episode,character,sentence
3,1,JULIET,I burnt my hand -- and my muffins.
3,1,AMELIA,Still hasn't fixed your plumbing yet?
3,1,WORKER GUY,It's a work in progress.
3,1,ADAM,It's not even literature. It's popcorn.
3,1,AMELIA,"And why isn't it literature, Adam? I'm dying to know."
3,1,ADAM,There's no metaphor. It's by-the-numbers religious hocum-pocum.
3,1,AMELIA,No metaphor?
3,1,ADAM,It's science-fiction -- now I know why Ben isn't here.
3,1,JULIET,Excuse me?
3,1,ADAM,"I know the host picks the book; but seriously, Julie, he wouldn't read this in the damn bathroom."
3,1,JULIET,"Well, Adam, I am the host and I do pick the book. And this is my favorite book. So I am absolutely thrilled that you can't stand it. Silly me for sinking so low as to select something that Ben wouldn't like. Here I am thinking that free will still actually exists on--"
3,1,JULIET,The doorway -- get into the doorway.
3,1,GALE,"Goodwin, did you see where the tail landed?"
3,1,GOODWIN,"Yeah, probably in the water."
3,1,GALE,"You run and you can make that shore line in an hour. Ethan, get up there to that fuselage. There may actually be survivors; and you're one of them. A passenger -- in shock -- come up with an adequate story if they ask. Stay quiet if they don't. Listen, learn, don't get involved. I want lists in 3 days. Go."
3,1,GALE,So I guess I'm out of the book club.
3,1,JACK,"Kate! Kate, can you hear me?! Kate!"
3,1,TOM,"Rise and shine, Kate."
3,1,KATE,Where am I?
3,1,TOM,"You don't really think I'm going to answer that, do you?"
3,1,KATE,Where are Sawyer and Jack?
3,1,TOM,"I'll tell you what, why don't you just take a nice hot shower -- wake yourself up -- wash the day off you and start fresh. There's a nice clean towel, soap, shampoo..."
3,1,KATE,I'm not showering in front of you.
3,1,TOM,"Kate, you're not my type."
3,1,SAWYER,"Hey. Where are we? Who the hell are you? Oh, you ain't gonna talk to me? What -- you got more important things to do?"
3,1,KARL,I wouldn't do that.
3,1,SAWYER,If I want your advice -- I'll ask for it.
3,1,SAWYER,Son-of-a-bitch!!
3,1,KARL,Told you.
3,1,UNKNOWN VOICE,Stop that.
3,1,JULIET,"Hi, Jack. I'm Juliet."
3,1,JACK,"Hi, I'm Jack Shephard. I'm here..."
3,1,SARAH,Where's your lawyer?
3,1,JACK,You look pretty.
3,1,SARAH,Where's your lawyer?
3,1,JACK,"I fired him. Sarah, I'm sorry for, for pushing us to this place. I know that I..."
3,1,SARAH,"Excuse me; I'm sorry. Yeah, um, no not yet. He just got here. I'll call you when I get home. Jack, I'm going to say this as simply as I can..."
3,1,JACK,What's his name?
3,1,SARAH,"Jack, stop it."
3,1,JACK,I'm not going to stop it. I'm going to keep asking you that until you tell me.
3,1,SARAH,"No, I don't ask you what you do in your..."
3,1,JACK,"Just tell me what his name is! I want to know who he is. Look, you can have everything -- the cars, the house -- I don't care. I just -- I just want to know the name of the man that is with my wife."
3,1,JULIET,"Jack, can you hear me in there? Is that a yes?"
3,1,JACK,Where are my friends?
3,1,JULIET,Come down from the table first.
3,1,JACK,You want me to come down -- come in here and get me down.
3,1,JULIET,"If you want to talk, I'm happy to..."
3,1,JACK,Tell me where my friends are!!!
3,1,JULIET,I will -- if you let go of the chain.
3,1,JACK,You think I'm stupid?!
3,1,JULIET,"I don't think you're stupid, Jack. I think you're stubborn."
3,1,KATE,Hey! Where are my clothes?!
3,1,TOM,"Come on, Kate. He's waiting."
3,1,GALE,"Sorry, I'm going to have to ask you to put those on, Kate."
3,1,KATE,And if I don't?
3,1,GALE,Then you don't get any coffee.
3,1,GALE,A little tighter. Please.
3,1,KATE,What did you do with Sawyer and Jack?
3,1,GALE,Now why Sawyer?
3,1,KATE,Why Sawyer what?
3,1,GALE,"He's the first one you asked about. ""What did you do with Sawyer and Jack?"""
3,1,KATE,You don't know me.
3,1,GALE,Of course I don't.
3,1,KATE,I want my clothes back.
3,1,GALE,We burned them.
3,1,KATE,Why did you bring me here? Why did you make me put on this dress? Why are you feeding me breakfast?
3,1,GALE,"I brought you here so you'd look out at the water and feel comforted -- comforted that your friends were looking out at the same ocean. I gave you the dress so that you'd feel like a lady. And I wanted you to eat your food with a real live fork and feel civilized. I did all those things so that you'd have something nice to hold on to. Because, Kate, the next two weeks are going to be very unpleasant."
3,1,JACK,"Yeah, hi. Uh, I met a woman on the train. Sarah. And she dropped her cell phone and I don't even know her last name. But your number was in her phone so I was just wondering... I'm sorry, forget it."
3,1,CHRISTIAN,Hey.
3,1,JACK,"Just give me a minute, Dad. I asked you to give me a minute here."
3,1,CHRISTIAN,What's this? Why are you dialing all the numbers on Sarah's cell phone?
3,1,JACK,Because one of them is him.
3,1,CHRISTIAN,"You've got to stop this, Jack. It's over."
3,1,JACK,"Not until I know his name -- where he works, where he lives, when they first kissed. I want to know what it is about him."
3,1,JACK,"Why is Sarah calling you, dad?"
3,1,CHRISTIAN,I think it's time that you let this go.
